time	state	geography	geography_name	grade	N_dtap	N_polio	N_mmr	N_hep_b	N_varicella	N_personal_exempt	N_medical_exempt	N_full_exempt	pct_dtap	pct_polio	pct_mmr	pct_hep_b	pct_varicella	pct_personal_exempt	pct_medical_exempt	pct_full_exempt	N_full_medical_exempt	pct_full_medical_exempt	N_partial_medical_exempt_utd	pct_partial_medical_exempt_utd	N_full_religious_exempt	pct_full_religious_exempt	N_partial_religious_exempt_utd	pct_partial_religious_exempt_utd
2021-01-27	Alabama	01035	Conecuh	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01037	Coosa	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01039	Covington	Kindergarten	NA	NA	NA	NA	NA	5.00	0.00	5.00	NA	NA	NA	NA	NA	1.11	0.00	1.11	0.00	0.00	0.00	0.00	5.00	1.11	0.00	0.00
2021-01-27	Alabama	01041	Crenshaw	Kindergarten	NA	NA	NA	NA	NA	2.00	0.00	2.00	NA	NA	NA	NA	NA	1.02	0.00	1.02	0.00	0.00	0.00	0.00	2.00	1.02	0.00	0.00
2021-01-27	Alabama	01043	Cullman	Kindergarten	NA	NA	NA	NA	NA	21.00	1.00	21.00	NA	NA	NA	NA	NA	2.08	0.10	2.08	1.00	0.10	0.00	0.00	21.00	2.08	0.00	0.00
2021-01-27	Alabama	01045	Dale	Kindergarten	NA	NA	NA	NA	NA	6.00	0.00	6.00	NA	NA	NA	NA	NA	1.32	0.00	1.32	0.00	0.00	2.00	0.44	6.00	1.32	0.00	0.00
2021-01-27	Alabama	01047	Dallas	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.32	0.00	0.32	0.00	0.00	0.00	0.00	1.00	0.32	0.00	0.00
2021-01-27	Alabama	01049	Dekalb	Kindergarten	NA	NA	NA	NA	NA	8.00	1.00	8.00	NA	NA	NA	NA	NA	0.88	0.11	0.88	1.00	0.11	0.00	0.00	8.00	0.88	1.00	0.11
2021-01-27	Alabama	01051	Elmore	Kindergarten	NA	NA	NA	NA	NA	19.00	1.00	19.00	NA	NA	NA	NA	NA	1.94	0.10	1.94	1.00	0.10	1.00	0.10	19.00	1.94	0.00	0.00
2021-01-27	Alabama	01053	Escambia	Kindergarten	NA	NA	NA	NA	NA	4.00	0.00	4.00	NA	NA	NA	NA	NA	1.10	0.00	1.10	0.00	0.00	0.00	0.00	4.00	1.10	0.00	0.00
2021-01-27	Alabama	01055	Etowah	Kindergarten	NA	NA	NA	NA	NA	14.00	2.00	14.00	NA	NA	NA	NA	NA	1.14	0.16	1.14	2.00	0.16	1.00	0.08	14.00	1.14	0.00	0.00
2021-01-27	Alabama	01057	Fayette	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01059	Franklin	Kindergarten	NA	NA	NA	NA	NA	3.00	1.00	3.00	NA	NA	NA	NA	NA	0.72	0.24	0.72	1.00	0.24	0.00	0.00	3.00	0.72	0.00	0.00
2021-01-27	Alabama	01061	Geneva	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.31	0.00	0.31	0.00	0.00	0.00	0.00	1.00	0.31	0.00	0.00
2021-01-27	Alabama	01063	Greene	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01065	Hale	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.54	0.00	0.54	0.00	0.00	0.00	0.00	1.00	0.54	0.00	0.00
2021-01-27	Alabama	01067	Henry	Kindergarten	NA	NA	NA	NA	NA	0.00	1.00	0.00	NA	NA	NA	NA	NA	0.00	0.49	0.00	1.00	0.49	1.00	0.49	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01069	Houston	Kindergarten	NA	NA	NA	NA	NA	5.00	0.00	5.00	NA	NA	NA	NA	NA	0.41	0.00	0.41	0.00	0.00	8.00	0.65	5.00	0.41	1.00	0.08
2021-01-27	Alabama	01071	Jackson	Kindergarten	NA	NA	NA	NA	NA	9.00	0.00	9.00	NA	NA	NA	NA	NA	1.69	0.00	1.69	0.00	0.00	0.00	0.00	9.00	1.69	0.00	0.00
2021-01-27	Alabama	01073	Jefferson	Kindergarten	NA	NA	NA	NA	NA	60.00	1.00	60.00	NA	NA	NA	NA	NA	0.82	0.01	0.82	1.00	0.01	6.00	0.08	60.00	0.82	0.00	0.00
2021-01-27	Alabama	01075	Lamar	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.55	0.00	0.55	0.00	0.00	0.00	0.00	1.00	0.55	0.00	0.00
2021-01-27	Alabama	01077	Lauderdale	Kindergarten	NA	NA	NA	NA	NA	11.00	0.00	11.00	NA	NA	NA	NA	NA	1.06	0.00	1.06	0.00	0.00	1.00	0.10	11.00	1.06	0.00	0.00
2021-01-27	Alabama	01079	Lawrence	Kindergarten	NA	NA	NA	NA	NA	2.00	0.00	2.00	NA	NA	NA	NA	NA	0.72	0.00	0.72	0.00	0.00	0.00	0.00	2.00	0.72	0.00	0.00
2021-01-27	Alabama	01081	Lee	Kindergarten	NA	NA	NA	NA	NA	7.00	0.00	7.00	NA	NA	NA	NA	NA	0.38	0.00	0.38	0.00	0.00	1.00	0.05	7.00	0.38	0.00	0.00
2021-01-27	Alabama	01083	Limestone	Kindergarten	NA	NA	NA	NA	NA	9.00	0.00	9.00	NA	NA	NA	NA	NA	0.90	0.00	0.90	0.00	0.00	1.00	0.10	9.00	0.90	0.00	0.00
2021-01-27	Alabama	01085	Lowndes	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	1.11	0.00	1.11	0.00	0.00	0.00	0.00	1.00	1.11	0.00	0.00
2021-01-27	Alabama	01087	Macon	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01089	Madison	Kindergarten	NA	NA	NA	NA	NA	46.00	2.00	46.00	NA	NA	NA	NA	NA	1.12	0.05	1.12	2.00	0.05	2.00	0.05	46.00	1.12	0.00	0.00
2021-01-27	Alabama	01091	Marengo	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	1.00	0.37	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01093	Marion	Kindergarten	NA	NA	NA	NA	NA	6.00	0.00	6.00	NA	NA	NA	NA	NA	1.57	0.00	1.57	0.00	0.00	0.00	0.00	6.00	1.57	0.00	0.00
2021-01-27	Alabama	01095	Marshall	Kindergarten	NA	NA	NA	NA	NA	6.00	2.00	6.00	NA	NA	NA	NA	NA	0.47	0.16	0.47	2.00	0.16	0.00	0.00	6.00	0.47	0.00	0.00
2021-01-27	Alabama	01097	Mobile	Kindergarten	NA	NA	NA	NA	NA	77.00	0.00	77.00	NA	NA	NA	NA	NA	1.57	0.00	1.57	0.00	0.00	5.00	0.10	77.00	1.57	0.00	0.00
2021-01-27	Alabama	01099	Monroe	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.40	0.00	0.40	0.00	0.00	0.00	0.00	1.00	0.40	0.00	0.00
2021-01-27	Alabama	01101	Montgomery	Kindergarten	NA	NA	NA	NA	NA	24.00	0.00	24.00	NA	NA	NA	NA	NA	0.87	0.00	0.87	0.00	0.00	1.00	0.04	24.00	0.87	0.00	0.00
2021-01-27	Alabama	01103	Morgan	Kindergarten	NA	NA	NA	NA	NA	20.00	1.00	20.00	NA	NA	NA	NA	NA	1.29	0.06	1.29	1.00	0.06	2.00	0.13	20.00	1.29	0.00	0.00
2021-01-27	Alabama	01105	Perry	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01107	Pickens	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01109	Pike	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01111	Randolph	Kindergarten	NA	NA	NA	NA	NA	3.00	0.00	3.00	NA	NA	NA	NA	NA	1.20	0.00	1.20	0.00	0.00	1.00	0.40	3.00	1.20	0.00	0.00
2021-01-27	Alabama	01113	Russell	Kindergarten	NA	NA	NA	NA	NA	3.00	1.00	3.00	NA	NA	NA	NA	NA	0.41	0.14	0.41	1.00	0.14	0.00	0.00	3.00	0.41	0.00	0.00
2021-01-27	Alabama	01117	Shelby	Kindergarten	NA	NA	NA	NA	NA	28.00	2.00	28.00	NA	NA	NA	NA	NA	1.25	0.09	1.25	2.00	0.09	1.00	0.04	28.00	1.25	0.00	0.00
2021-01-27	Alabama	01115	St. Clair	Kindergarten	NA	NA	NA	NA	NA	27.00	0.00	27.00	NA	NA	NA	NA	NA	2.41	0.00	2.41	0.00	0.00	1.00	0.09	27.00	2.41	0.00	0.00
2021-01-27	Alabama	01119	Sumter	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2021-01-27	Alabama	01121	Talladega	Kindergarten	NA	NA	NA	NA	NA	5.00	1.00	5.00	NA	NA	NA	NA	NA	0.59	0.12	0.59	1.00	0.12	0.00	0.00	5.00	0.59	0.00	0.00
2021-01-27	Alabama	01123	Tallapoosa	Kindergarten	NA	NA	NA	NA	NA	4.00	0.00	4.00	NA	NA	NA	NA	NA	1.00	0.00	1.00	0.00	0.00	0.00	0.00	4.00	1.00	0.00	0.00
2021-01-27	Alabama	01125	Tuscaloosa	Kindergarten	NA	NA	NA	NA	NA	15.00	0.00	15.00	NA	NA	NA	NA	NA	0.61	0.00	0.61	0.00	0.00	3.00	0.12	15.00	0.61	0.00	0.00
2021-01-27	Alabama	01127	Walker	Kindergarten	NA	NA	NA	NA	NA	4.00	0.00	4.00	NA	NA	NA	NA	NA	0.56	0.00	0.56	0.00	0.00	0.00	0.00	4.00	0.56	0.00	0.00
2021-01-27	Alabama	01129	Washington	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.56	0.00	0.56	0.00	0.00	0.00	0.00	1.00	0.56	0.00	0.00
2021-01-27	Alabama	01131	Wilcox	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	1.69	0.00	1.69	0.00	0.00	0.00	0.00	1.00	1.69	0.00	0.00
2021-01-27	Alabama	01133	Winston	Kindergarten	NA	NA	NA	NA	NA	4.00	0.00	4.00	NA	NA	NA	NA	NA	1.52	0.00	1.52	0.00	0.00	0.00	0.00	4.00	1.52	0.00	0.00
2021-01-27	Alabama	01	Total	Kindergarten	NA	NA	NA	NA	NA	635.00	24.00	635.00	NA	NA	NA	NA	NA	1.13	0.04	1.13	24.00	0.04	41.00	0.07	635.00	1.13	3.00	0.01
2022-03-09	Alabama	01001	Autauga	Kindergarten	NA	NA	NA	NA	NA	20.00	0.00	20.00	NA	NA	NA	NA	NA	2.62	0.00	2.62	0.00	0.00	1.00	0.13	20.00	2.62	0.00	0.00
2022-03-09	Alabama	01003	Baldwin	Kindergarten	NA	NA	NA	NA	NA	104.00	3.00	104.00	NA	NA	NA	NA	NA	3.82	0.11	3.82	3.00	0.11	8.00	0.29	104.00	3.82	0.00	0.00
2022-03-09	Alabama	01005	Barbour	Kindergarten	NA	NA	NA	NA	NA	15.00	1.00	15.00	NA	NA	NA	NA	NA	2.97	0.20	2.97	1.00	0.20	0.00	0.00	15.00	2.97	0.00	0.00
2022-03-09	Alabama	01007	Bibb	Kindergarten	NA	NA	NA	NA	NA	5.00	0.00	5.00	NA	NA	NA	NA	NA	2.19	0.00	2.19	0.00	0.00	0.00	0.00	5.00	2.19	0.00	0.00
2022-03-09	Alabama	01009	Blount	Kindergarten	NA	NA	NA	NA	NA	7.00	0.00	7.00	NA	NA	NA	NA	NA	0.97	0.00	0.97	0.00	0.00	0.00	0.00	7.00	0.97	0.00	0.00
2022-03-09	Alabama	01011	Bullock	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2022-03-09	Alabama	01013	Butler	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.43	0.00	0.43	0.00	0.00	0.00	0.00	1.00	0.43	0.00	0.00
2022-03-09	Alabama	01015	Calhoun	Kindergarten	NA	NA	NA	NA	NA	26.00	2.00	26.00	NA	NA	NA	NA	NA	1.82	0.14	1.82	2.00	0.14	2.00	0.14	26.00	1.82	1.00	0.07
2022-03-09	Alabama	01017	Chambers	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2022-03-09	Alabama	01019	Cherokee	Kindergarten	NA	NA	NA	NA	NA	7.00	0.00	7.00	NA	NA	NA	NA	NA	1.86	0.00	1.86	0.00	0.00	1.00	0.27	7.00	1.86	0.00	0.00
2022-03-09	Alabama	01021	Chilton	Kindergarten	NA	NA	NA	NA	NA	7.00	0.00	7.00	NA	NA	NA	NA	NA	1.33	0.00	1.33	0.00	0.00	0.00	0.00	7.00	1.33	0.00	0.00
2022-03-09	Alabama	01023	Choctaw	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.90	0.00	0.90	0.00	0.00	0.00	0.00	1.00	0.90	0.00	0.00
2022-03-09	Alabama	01025	Clarke	Kindergarten	NA	NA	NA	NA	NA	2.00	0.00	2.00	NA	NA	NA	NA	NA	0.69	0.00	0.69	0.00	0.00	0.00	0.00	2.00	0.69	0.00	0.00
2022-03-09	Alabama	01027	Clay	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.53	0.00	0.53	0.00	0.00	0.00	0.00	1.00	0.53	0.00	0.00
2022-03-09	Alabama	01029	Cleburne	Kindergarten	NA	NA	NA	NA	NA	4.00	0.00	4.00	NA	NA	NA	NA	NA	2.19	0.00	2.19	0.00	0.00	0.00	0.00	4.00	2.19	0.00	0.00
2022-03-09	Alabama	01031	Coffee	Kindergarten	NA	NA	NA	NA	NA	14.00	3.00	14.00	NA	NA	NA	NA	NA	1.62	0.35	1.62	3.00	0.35	0.00	0.00	14.00	1.62	0.00	0.00
2022-03-09	Alabama	01033	Colbert	Kindergarten	NA	NA	NA	NA	NA	9.00	0.00	9.00	NA	NA	NA	NA	NA	1.40	0.00	1.40	0.00	0.00	2.00	0.31	9.00	1.40	0.00	0.00
2022-03-09	Alabama	01035	Conecuh	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2022-03-09	Alabama	01037	Coosa	Kindergarten	NA	NA	NA	NA	NA	2.00	0.00	2.00	NA	NA	NA	NA	NA	2.90	0.00	2.90	0.00	0.00	0.00	0.00	2.00	2.90	0.00	0.00
2022-03-09	Alabama	01039	Covington	Kindergarten	NA	NA	NA	NA	NA	7.00	1.00	7.00	NA	NA	NA	NA	NA	1.45	0.21	1.45	1.00	0.21	0.00	0.00	7.00	1.45	0.00	0.00
2022-03-09	Alabama	01041	Crenshaw	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.48	0.00	0.48	0.00	0.00	0.00	0.00	1.00	0.48	0.00	0.00
2022-03-09	Alabama	01043	Cullman	Kindergarten	NA	NA	NA	NA	NA	24.00	0.00	24.00	NA	NA	NA	NA	NA	2.14	0.00	2.14	0.00	0.00	0.00	0.00	24.00	2.14	0.00	0.00
2022-03-09	Alabama	01045	Dale	Kindergarten	NA	NA	NA	NA	NA	7.00	0.00	7.00	NA	NA	NA	NA	NA	1.38	0.00	1.38	0.00	0.00	3.00	0.59	7.00	1.38	0.00	0.00
2022-03-09	Alabama	01047	Dallas	Kindergarten	NA	NA	NA	NA	NA	3.00	0.00	3.00	NA	NA	NA	NA	NA	0.84	0.00	0.84	0.00	0.00	0.00	0.00	3.00	0.84	0.00	0.00
2022-03-09	Alabama	01049	Dekalb	Kindergarten	NA	NA	NA	NA	NA	10.00	0.00	10.00	NA	NA	NA	NA	NA	1.01	0.00	1.01	0.00	0.00	0.00	0.00	10.00	1.01	0.00	0.00
2022-03-09	Alabama	01051	Elmore	Kindergarten	NA	NA	NA	NA	NA	22.00	1.00	22.00	NA	NA	NA	NA	NA	2.05	0.09	2.05	1.00	0.09	0.00	0.00	22.00	2.05	0.00	0.00
2022-03-09	Alabama	01053	Escambia	Kindergarten	NA	NA	NA	NA	NA	4.00	0.00	4.00	NA	NA	NA	NA	NA	0.83	0.00	0.83	0.00	0.00	1.00	0.21	4.00	0.83	0.00	0.00
2022-03-09	Alabama	01055	Etowah	Kindergarten	NA	NA	NA	NA	NA	16.00	4.00	16.00	NA	NA	NA	NA	NA	1.25	0.31	1.25	4.00	0.31	1.00	0.08	16.00	1.25	0.00	0.00
2022-03-09	Alabama	01057	Fayette	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	0.53	0.00	0.53	0.00	0.00	0.00	0.00	1.00	0.53	0.00	0.00
2022-03-09	Alabama	01059	Franklin	Kindergarten	NA	NA	NA	NA	NA	3.00	0.00	3.00	NA	NA	NA	NA	NA	0.62	0.00	0.62	0.00	0.00	0.00	0.00	3.00	0.62	0.00	0.00
2022-03-09	Alabama	01061	Geneva	Kindergarten	NA	NA	NA	NA	NA	4.00	1.00	4.00	NA	NA	NA	NA	NA	1.29	0.32	1.29	1.00	0.32	0.00	0.00	4.00	1.29	0.00	0.00
2022-03-09	Alabama	01063	Greene	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	1.69	0.00	1.69	0.00	0.00	0.00	0.00	1.00	1.69	0.00	0.00
2022-03-09	Alabama	01065	Hale	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2022-03-09	Alabama	01067	Henry	Kindergarten	NA	NA	NA	NA	NA	2.00	0.00	2.00	NA	NA	NA	NA	NA	1.09	0.00	1.09	0.00	0.00	3.00	1.63	2.00	1.09	0.00	0.00
2022-03-09	Alabama	01069	Houston	Kindergarten	NA	NA	NA	NA	NA	2.00	1.00	2.00	NA	NA	NA	NA	NA	0.14	0.07	0.14	1.00	0.07	6.00	0.42	2.00	0.14	0.00	0.00
2022-03-09	Alabama	01071	Jackson	Kindergarten	NA	NA	NA	NA	NA	8.00	0.00	8.00	NA	NA	NA	NA	NA	1.31	0.00	1.31	0.00	0.00	0.00	0.00	8.00	1.31	0.00	0.00
2022-03-09	Alabama	01073	Jefferson	Kindergarten	NA	NA	NA	NA	NA	99.00	4.00	99.00	NA	NA	NA	NA	NA	1.25	0.05	1.25	4.00	0.05	7.00	0.09	99.00	1.25	1.00	0.01
2022-03-09	Alabama	01075	Lamar	Kindergarten	NA	NA	NA	NA	NA	3.00	0.00	3.00	NA	NA	NA	NA	NA	1.49	0.00	1.49	0.00	0.00	0.00	0.00	3.00	1.49	0.00	0.00
2022-03-09	Alabama	01077	Lauderdale	Kindergarten	NA	NA	NA	NA	NA	18.00	0.00	18.00	NA	NA	NA	NA	NA	1.75	0.00	1.75	0.00	0.00	1.00	0.10	18.00	1.75	0.00	0.00
2022-03-09	Alabama	01079	Lawrence	Kindergarten	NA	NA	NA	NA	NA	2.00	0.00	2.00	NA	NA	NA	NA	NA	0.71	0.00	0.71	0.00	0.00	0.00	0.00	2.00	0.71	0.00	0.00
2022-03-09	Alabama	01081	Lee	Kindergarten	NA	NA	NA	NA	NA	17.00	0.00	17.00	NA	NA	NA	NA	NA	0.92	0.00	0.92	0.00	0.00	0.00	0.00	17.00	0.92	0.00	0.00
2022-03-09	Alabama	01083	Limestone	Kindergarten	NA	NA	NA	NA	NA	31.00	2.00	31.00	NA	NA	NA	NA	NA	2.18	0.14	2.18	2.00	0.14	2.00	0.14	31.00	2.18	0.00	0.00
2022-03-09	Alabama	01085	Lowndes	Kindergarten	NA	NA	NA	NA	NA	1.00	0.00	1.00	NA	NA	NA	NA	NA	1.04	0.00	1.04	0.00	0.00	0.00	0.00	1.00	1.04	0.00	0.00
2022-03-09	Alabama	01087	Macon	Kindergarten	NA	NA	NA	NA	NA	2.00	0.00	2.00	NA	NA	NA	NA	NA	1.56	0.00	1.56	0.00	0.00	0.00	0.00	2.00	1.56	0.00	0.00
2022-03-09	Alabama	01089	Madison	Kindergarten	NA	NA	NA	NA	NA	72.00	0.00	72.00	NA	NA	NA	NA	NA	1.71	0.00	1.71	0.00	0.00	2.00	0.05	72.00	1.71	0.00	0.00
2022-03-09	Alabama	01091	Marengo	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2022-03-09	Alabama	01093	Marion	Kindergarten	NA	NA	NA	NA	NA	4.00	1.00	4.00	NA	NA	NA	NA	NA	1.03	0.26	1.03	1.00	0.26	0.00	0.00	4.00	1.03	0.00	0.00
2022-03-09	Alabama	01095	Marshall	Kindergarten	NA	NA	NA	NA	NA	15.00	0.00	15.00	NA	NA	NA	NA	NA	1.04	0.00	1.04	0.00	0.00	1.00	0.07	15.00	1.04	0.00	0.00
2022-03-09	Alabama	01097	Mobile	Kindergarten	NA	NA	NA	NA	NA	109.00	1.00	109.00	NA	NA	NA	NA	NA	2.18	0.02	2.18	1.00	0.02	4.00	0.08	109.00	2.18	0.00	0.00
2022-03-09	Alabama	01099	Monroe	Kindergarten	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2022-03-09	Alabama	01101	Montgomery	Kindergarten	NA	NA	NA	NA	NA	30.00	0.00	30.00	NA	NA	NA	NA	NA	1.07	0.00	1.07	0.00	0.00	2.00	0.07	30.00	1.07	0.00	0.00
