time,geography,geography_name,school_id,school_name,district,school_type,pct_medical_exemptions,pct_immunized_polio,pct_immunized_measles,pct_immunized_mumps,pct_immunized_rubella,pct_immunized_diphtheria,pct_immunized_hepatitis_b,pct_immunized_varicella,pct_immunized_tdap,pct_immunized_meningococcal,pct_completely_immunized
12-31-2021,36111,Ulster County,621101060005,NEW PALTZ S H S,NEW PALTZ CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,100,100,100
12-31-2021,36065,Oneida County,412902996151,ROLLING ACRES SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2023,36103,Suffolk County,580402060002,LLOYD HARBOR SCHOOL,COLD SPRING HARBOR CENTRAL SCH,Public School,0,100,100,100,100,100,100,100,100,NA,100
12-31-2023,36123,Yates County,680801659943,SUNNY VIEW SCHOOL,NA,Private School,0,58.599999999999994,55.00000000000001,55.00000000000001,72,59,59,58.599999999999994,67,60,55.00000000000001
12-31-2022,36119,Westchester County,661500010009,PEEKSKILL H S,PEEKSKILL CITY SCHOOLS,Public School,0,100,97,97,97,96,96,97.6,100,100,95
12-31-2023,36053,Madison County,251601060001,BRIDGEPORT ELEM SCHOOL,CHITTENANGO CENTRAL SCHOOL,Public School,0,99,99,99,98,99,99,99,NA,NA,98
12-31-2022,36115,Washington County,641701060001,WHITEHALL ELEM SCHOOL,WHITEHALL CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,69,NA,95
12-31-2021,36067,Onondaga County,420411185475,CHRISTIAN BROTHERS ACADEMY,NA,Private School,0,100,100,100,100,100,100,100,100,100,100
12-31-2023,36057,Montgomery County,270701659815,NESTLE RIDGE,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2021,36027,Dutchess County,131201994052,DUANE LAKE ACADEMY,NA,Private School,25,58.3,75,75,75,67,67,66.7,78,50,42
12-31-2021,36123,Yates County,680601660001,RAILSIDE SCHOOL,NA,Private School,0,89.5,90,90,95,90,90,89.5,100,100,90
12-31-2022,36013,Chautauqua County,60503658575,BURDICK ROAD SCHOOL,NA,Private School,0,98.7,0,0,0,0,0,0,0,0,0
12-31-2021,36013,Chautauqua County,62601659164,OPEN MEADOWS,NA,Private School,0,42.4,46,46,46,46,39,36.4,54,40,24
12-31-2023,36037,Genesee County,181201040001,PAVILION J S H S,PAVILION CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,100,100,100
12-31-2021,36089,St. Lawrence County,512404040010,LOCUST GROVE SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2023,36103,Suffolk County,580512030015,WEST MIDDLE SCHOOL,BRENTWOOD UNION FREE SCHOOL,Public School,0,98.8,99,99,99,100,99,98.8,98,99,98
12-31-2024,36029,Erie County,141301060006,IROQUOIS SHS,IROQUOIS CENTRAL SCHOOL,Public School,0,100,100,100,100,NA,100,100,100,100,100
12-31-2020,36115,Washington County,641301060005,HUDSON FALLS PRIMARY BUILDING,HUDSON FALLS CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2023,36059,Nassau County,280515030003,SEAMAN ELEMENTARY SCHOOL,JERICHO UNION FREE SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2023,36119,Westchester County,660407060001,LEE JACKSON SCHOOL,GREENBURGH CENTRAL SCHOOL,Public School,0,99.2,100,100,100,100,100,99.6,NA,NA,99
12-31-2021,36123,Yates County,680801880901,COUNTRY ECHOES,NA,Private School,0,66.7,74,74,74,67,70,74.1,75,0,52
12-31-2021,36123,Yates County,680601060001,PENN YAN ACADEMY,PENN YAN CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,100,100,100
12-31-2021,36029,Erie County,141601060003,CHARLOTTE AVENUE ES,HAMBURG CENTRAL SCHOOL,Public School,1,98.3,100,100,100,98,100,99.2,NA,NA,98
12-31-2021,36029,Erie County,141601060006,HAMBURG JHS,HAMBURG CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,100,100,100
12-31-2020,36013,Chautauqua County,60601558558,SHADY MAPLE SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,NA,0
12-31-2021,36103,Suffolk County,580902020001,WESTHAMPTON BEACH S H S,WESTHAMPTON BEACH U F S,Public School,0,100,100,100,100,100,100,99.9,100,100,100
12-31-2022,36059,Nassau County,280201030007,HEMPSTEAD H S,HEMPSTEAD UNION FREE SCHOOL,Public School,0,88.4,98,98,98,97,97,99.1,97,98,96
12-31-2022,36123,Yates County,680801659942,SPRING HILL SCHOOL,NA,Private School,0,100,44,44,44,44,39,33.300000000000004,28.999999999999996,17,28.000000000000004
12-31-2023,36101,Steuben County,571800996146,ST ANNS ACADEMY,NA,Private School,0,100,100,100,100,100,100,96.3,NA,NA,96
12-31-2020,36087,Rockland County,500301060008,SOUTH ORANGETOWN J H S,SOUTH ORANGETOWN CENT SCH,Public School,0,99.9,100,100,100,100,100,99.4,99,99,98
12-31-2022,36013,Chautauqua County,62601659164,OPEN MEADOWS,NA,Private School,0,77.5,39,39,39,26,32,32.300000000000004,38,25,13
12-31-2023,36055,Monroe County,261801060003,BROCKPORT H S,BROCKPORT CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,100,100,100
12-31-2022,36089,St. Lawrence County,511901040004,MADRID WADDINGTON ES,MADRID WADDINGTON CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,99.7,NA,NA,100
12-31-2024,36103,Suffolk County,580224175573,HOLY ANGELS REGIONAL SCHOOL,0.0,Private School,1,100,100,100,100,100,100,99.5,NA,100,100
12-31-2024,36119,Westchester County,661800010002,MILTON SCHOOL,RYE CITY SCHOOL,Public School,0,100,100,100,100,100,100,99.7,NA,NA,99
12-31-2024,36123,Yates County,680601659892,SHADY WILLOW,0.0,Private School,0,84,88,88,88,67,84,88,64,86,68
12-31-2023,36049,Lewis County,230901655472,DEER BROOK SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2023,36119,Westchester County,662401060007,LAKELAND SR HIGH SCHOOL,LAKELAND CENTRAL SCHOOL,Public School,0,99.7,100,100,100,100,100,99.7,100,100,100
12-31-2021,36123,Yates County,680601659803,WEST WOOD SCHOOL,NA,Private School,0,100,100,100,100,100,100,100,89,100,96
12-31-2022,36083,Rensselaer County,490301115686,HOLY SPIRIT SCHOOL,NA,Private School,0,98.2,100,100,100,100,100,100,100,100,100
12-31-2023,36013,Chautauqua County,62601658581,SNOW RIDGE SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2023,36017,Chenango County,81200050004,NORWICH HS,NORWICH CITY SCHOOL,Public School,0,100,100,100,100,100,100,100,100,100,100
12-31-2023,36119,Westchester County,662300010009,SCHOOL  9,YONKERS CITY SCHOOLS,Public School,0,99.6,100,100,100,100,100,99.6,96,NA,99
12-31-2022,36057,Montgomery County,270601040002,FONDA FULTONVILLE S H S,FONDA FULTONVILLE CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,100,NA,100
12-31-2020,36103,Suffolk County,580410030005,INDIAN HOLLOW SCHOOL,COMMACK UNION FREE SCHOOL,Public School,0,99.3,100,100,100,99,99,99.3,NA,NA,99
12-31-2022,36089,St. Lawrence County,510501040001,COLTON-PIERREPONT JSHS,COLTON PIERREPT CENT SCH,Public School,0,100,100,100,100,100,100,100,100,100,100
12-31-2022,36123,Yates County,680601670001,EVERGREEN SCHOOL,NA,Private School,0,93.4,72,72,72,72,72,72.2,83,75,72
12-31-2023,36059,Nassau County,280523030012,MCKENNA ES,MASSAPEQUA UNION FREE SCHOOL,Public School,1,99.8,100,100,100,99,100,99.5,NA,NA,99
12-31-2022,36119,Westchester County,661905020001,BRUNO M. PONTERIO/RIDGE STREET SCHOOL,BLIND BROOK-RYE UFSD,Public School,0,98.2,99,99,99,100,100,99.1,NA,NA,99
12-31-2021,36059,Nassau County,280404030002,GUGGENHEIM ELEM SCHOOL,PORT WASHINGTON U F S,Public School,0,99.8,100,100,100,100,100,99.8,NA,NA,99
12-31-2020,36057,Montgomery County,273057729001,SUNNY BROOK SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2023,36079,Putnam County,480101060006,FULMAR ROAD ELEM SCHOOL,MAHOPAC CENTRAL SCHOOL,Public School,0,99.6,100,100,100,100,100,99.8,NA,NA,99
12-31-2020,36103,Suffolk County,580801060007,ST JAMES ELEM SCHOOL,SMITHTOWN CENTRAL SCHOOL,Public School,0,99.2,100,100,100,99,100,99.4,NA,NA,99
12-31-2020,36065,Oneida County,412300010014,THOMAS JEFFERSON SCHOOL,UTICA CITY SCHOOLS,Public School,0,99.6,100,100,100,99,100,99.6,99,NA,98
12-31-2023,36103,Suffolk County,580410030005,INDIAN HOLLOW SCHOOL,COMMACK UNION FREE SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2020,36029,Erie County,141601060006,HAMBURG JHS,HAMBURG CENTRAL SCHOOL,Public School,0,99.4,100,100,100,99,100,99.5,100,100,99
12-31-2020,36103,Suffolk County,580512030006,NORTH ELEMENTARY SCHOOL,BRENTWOOD UNION FREE SCHOOL,Public School,0,99.2,100,100,100,98,99,97.2,NA,NA,97
12-31-2023,36119,Westchester County,662001030011,SCARSDALE J H S,SCARSDALE UNION FREE SCHOOL,Public School,0,99.5,99,99,99,100,99,95.5,97,94,93
12-31-2022,36059,Nassau County,280207020002,SHORE ROAD SCHOOL,BELLMORE UNION FREE SCHOOL,Public School,1,99.5,99,99,99,99,100,99.2,99,NA,99
12-31-2020,36059,Nassau County,280409996453,HENRY VISCARDI SCHOOL,NA,Private School,1,100,99,99,99,100,99,99.3,99,100,99
12-31-2023,36047,Kings County,331400226342,UTA 110,NA,Private School,0,98.2,98,98,98,98,99,97.89999999999999,63,42,76
12-31-2023,36103,Suffolk County,580509030007,PAUL J BELLEW ELEM SCHOOL,WEST ISLIP UNION FREE SCHOOL,Public School,0,100,100,100,100,100,100,99.8,NA,NA,100
12-31-2020,36057,Montgomery County,270701659818,WINDY RIDGE SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2021,36089,St. Lawrence County,512404040006,TWIN MAPLES,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2023,36087,Rockland County,500201060011,THIELLS ELEM SCHOOL,HAVERSTRAW-STONEY POINT CSD,Public School,0,99.7,100,100,100,100,100,99.8,NA,NA,99
12-31-2020,36059,Nassau County,280214030003,OGDEN ELEM SCHOOL,HEWLETT WOODMERE PUBLIC SCHOOLS,Public School,0,99.7,100,100,100,100,100,99.7,NA,NA,100
12-31-2023,36105,Sullivan County,591401997802,"THE CENTER FOR DISCOVERY, INC.",NA,Private School,2,98.7,100,100,100,100,99,99.3,98,96,96
12-31-2022,36039,Greene County,190501040001,COXSACKIE-ATHENS HIGH SCHOOL,COXSACKIE- ATHENS C S,Public School,0,100,100,100,100,100,100,100,100,96,96
12-31-2023,36087,Rockland County,500402060005,MARGETTS ELEM SCHOOL,EAST RAMAPO CENTRAL SCHOOL,Public School,0,93.7,98,98,98,96,96,95.89999999999999,NA,NA,94
12-31-2020,36103,Suffolk County,580212060007,LONGWOOD JHS,LONGWOOD CENTRAL SCHOOL,Public School,0,99.7,100,100,100,99,100,99.5,100,100,99
12-31-2023,36055,Monroe County,261801060002,GINTHER ELEM SCHOOL,BROCKPORT CENTRAL SCHOOL,Public School,0,99.5,99,99,99,100,100,99.5,NA,NA,99
12-31-2022,36059,Nassau County,280506060005,VERNON SCHOOL,OYSTER BAY-EAST NORWICH CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,99.8,100,NA,100
12-31-2021,36103,Suffolk County,580602040007,RILEY AVENUE SCHOOL,RIVERHEAD CENTRAL SCHOOL,Public School,0,99.5,100,100,100,100,100,99.5,NA,NA,100
12-31-2021,36059,Nassau County,280251070004,CENTRAL H S,VALLEY STR CENTRAL H S,Public School,0,99.8,100,100,100,100,100,99.9,100,99,99
12-31-2023,36059,Nassau County,280205030009,SUMMIT LANE SCHOOL,LEVITTOWN UNION FREE SCHOOL,Public School,0,99.5,100,100,100,99,100,99.5,NA,NA,99
12-31-2022,36103,Suffolk County,580512030010,PINE PARK ELEMENTARY SCHOOL,BRENTWOOD UNION FREE SCHOOL,Public School,0,99.4,99,99,99,98,99,97.8,NA,NA,96
12-31-2022,36107,Tioga County,600402040004,NEWARK VALLEY S H S,NEWARK VALLEY CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,99.7,100,100,100
12-31-2022,36073,Orleans County,450704040001,HOLLEY MS/HS,HOLLEY CENTRAL SCHOOL,Public School,0,99.7,100,100,100,100,100,100,100,99,100
12-31-2021,36089,St. Lawrence County,512404040012,PLEASANT VIEW SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2023,36077,Otsego County,471400010002,ONEONTA S H S,ONEONTA CITY SCHOOLS,Public School,0,100,100,100,100,100,100,100,100,100,99
12-31-2020,36103,Suffolk County,581010020001,GREENPORT H S,GREENPORT UNION FREE SCHOOL,Public School,0,97.8,99,99,99,96,97,98.1,100,99,94
12-31-2021,36103,Suffolk County,580509030007,PAUL J BELLEW ELEM SCHOOL,WEST ISLIP UNION FREE SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2021,36053,Madison County,251400010006,W F PRIOR ELEMENTARY SCHOOL,ONEIDA CITY SCHOOLS,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2020,36059,Nassau County,280406030002,MANHASSET SHS,MANHASSET UNION FREE SCHOOL,Public School,0,99.8,100,100,100,100,100,99.9,100,100,100
12-31-2022,36065,Oneida County,411701040001,REMSEN ELEM SCHOOL,REMSEN CENTRAL SCHOOL,Public School,0,99.7,100,100,100,100,100,100,97,NA,100
12-31-2024,36087,Rockland County,500402229918,CHEDER CHABAD OF MONSEY,0.0,Private School,0,97.56,98,98,98,95,96,95.61,93,82,90
12-31-2024,36111,Ulster County,620600145037,KINGSTON CATHOLIC SCHOOL,0.0,Private School,0,99.42,99,99,99,100,99,99.42,NA,100,99
12-31-2024,36103,Suffolk County,580410030017,COMMACK HIGH SCHOOL,COMMACK UNION FREE SCHOOL,Public School,0,99.83,100,100,100,NA,100,99.83,100,100,100
12-31-2024,36069,Ontario County,431701060001,VICTOR INTERMEDIATE SCHOOL,VICTOR CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,100,NA,100
12-31-2024,36067,Onondaga County,421902040001,TULLY J S H S,TULLY CENTRAL SCHOOL,Public School,0,100,100,100,100,NA,100,100,100,100,100
12-31-2024,36059,Nassau County,280515030005,JERICHO S H S,JERICHO UNION FREE SCHOOL,Public School,0,99.68,100,100,100,NA,100,99.68,100,100,99
12-31-2024,36115,Washington County,641301060003,MARGARET MURPHY KINDERGARTEN CENTER,HUDSON FALLS CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2024,36103,Suffolk County,580235060002,KREAMER STREET ELEM SCHOOL,SOUTH COUNTRY CENTRAL SCHOOL,Public School,0,99.31,99,99,99,99,99,99.31,NA,NA,99
12-31-2024,36103,Suffolk County,580211060014,STAGE COACH SCHOOL,MIDDLE COUNTRY CENTRAL SCHOOL,Public School,0,98.9,100,100,100,100,99,98.9,NA,NA,98
12-31-2024,36079,Putnam County,480101060004,MAHOPAC MIDDLE SCHOOL,MAHOPAC CENTRAL SCHOOL,Public School,0,99.78,100,100,100,100,100,99.78,100,100,99
12-31-2024,36055,Monroe County,261401060010,PITTSFORD MENDON H S,PITTSFORD CENTRAL SCHOOL,Public School,0,100,100,100,100,NA,100,99.89,100,100,100
12-31-2024,36075,Oswego County,461300010002,CHARLES E RILEY ELEM SCHOOL,OSWEGO CITY SCHOOLS,Public School,0,94.59,95,95,95,95,100,94.59,100,NA,94
12-31-2024,36009,Cattaraugus County,43001659304,HOXIE HILL SCHOOL,0.0,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2024,36119,Westchester County,660407060001,LEE JACKSON SCHOOL,GREENBURGH CENTRAL SCHOOL,Public School,0,99.61,99,99,99,99,100,99.22,NA,NA,99
12-31-2024,36103,Suffolk County,580104030003,DANIEL STREET SCHOOL,LINDENHURST UNION FREE SCHOOL,Public School,0,99.59,100,100,100,99,100,99.59,NA,NA,99
12-31-2024,36065,Oneida County,412212201342,SUNNY RIDGE SCHOOL,0.0,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2024,36123,Yates County,680601060001,PENN YAN ACADEMY,PENN YAN CENTRAL SCHOOL,Public School,0,99.51,100,100,100,NA,100,100,100,100,99
12-31-2021,36019,Clinton County,91200010001,BAILEY AVENUE SCHOOL,PLATTSBURGH CITY SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2020,36109,Tompkins County,610301060003,DRYDEN JSHS,DRYDEN CENTRAL SCHOOL,Public School,0,98.8,100,100,100,100,99,99.3,99,100,99
12-31-2020,36047,Kings County,332000228439,YESHIVA MACHZIKEI HADAS,NA,Private School,1,97.8,98,98,98,98,98,98.6,85,98,90
12-31-2022,36029,Erie County,140600010098,PS 305 MCKINLEY HIGH SCHOOL,BUFFALO CITY SCHOOLS,Public School,0,99.8,100,100,100,100,100,99.9,100,100,99
12-31-2020,36059,Nassau County,280215229558,YESHIVA KETANA OF LONG ISLAND,NA,Private School,0,99,100,100,100,99,99,99.7,100,100,98
12-31-2024,36103,Suffolk County,580401020003,JOHN H GLENN HS,ELWOOD UNION FREE SCH,Public School,0,99.85000000000001,100,100,100,NA,100,100,100,100,100
12-31-2024,36029,Erie County,140600010101,PS 301 BURGARD HIGH SCHOOL,BUFFALO CITY SCHOOLS,Public School,0,98.50999999999999,99,99,99,NA,99,98.72,99,99,98
12-31-2023,36047,Kings County,331500209521,HANNAH SENESH COMM SCH.,NA,Private School,0,99.5,100,100,100,100,100,100,94,96,97
12-31-2020,36025,Delaware County,120501040002,DELAWARE ACADEMY JSHS,DELHI CENTRAL SCHOOL,Public School,0,99,100,100,100,99,99,98.7,99,97,95
12-31-2022,36103,Suffolk County,580410999391,NSSA-MARTIN BARELL SCHOOL,NA,Private School,0,99.8,100,100,100,100,100,100,100,100,100
12-31-2020,36061,New York County,310300147412,ASCENSION SCHOOL,NA,Private School,0,100,99,99,99,100,98,97.5,100,100,97
12-31-2024,36103,Suffolk County,580513030002,FRANCIS J ONEILL SCHOOL,CENTRAL ISLIP U F S,Public School,0,99.83,100,100,100,100,100,99.66000000000001,100,NA,99
12-31-2023,36009,Cattaraugus County,43001659683,DREDGE ROAD SCHOOL,NA,Private School,0,0,0,0,0,0,0,0,0,0,0
12-31-2022,36029,Erie County,140600010043,PS 43 LOVEJOY DISCOVERY SCHOOL,BUFFALO CITY SCHOOLS,Public School,0,100,99,99,99,98,98,98.3,89,94,93
12-31-2021,36087,Rockland County,500304030002,LIBERTY ES,NYACK UNION FREE SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2023,36089,St. Lawrence County,511101060006,EAST SIDE ELEM SCHOOL,GOUVERNEUR CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2022,36037,Genesee County,180901040001,ELBA ELEMENTARY SCHOOL,ELBA CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,67,NA,95
12-31-2022,36059,Nassau County,280222020001,FLORAL PARK BELLEROSE SCHOOL,FLORAL PK-BELLROSE U F S,Public School,0,98.9,100,100,100,100,100,99.5,96,NA,99
12-31-2024,36111,Ulster County,620600996700,WOODCREST SCHOOL,0.0,Private School,0,100,100,100,100,98,100,98.65,100,100,97
12-31-2023,36019,Clinton County,90501040003,ROUSES POINT ES,NORTHEASTERN CLINTON CENTRAL SCHOOL,Public School,0,99.6,100,100,100,100,100,99.6,NA,NA,99
12-31-2021,36059,Nassau County,280203030002,BOWLING GREEN SCHOOL,EAST MEADOW UNION FREE SCHOOL,Public School,0,99.9,100,100,100,100,100,100,NA,NA,100
12-31-2020,36017,Chenango County,82001040004,SHERBURNE EARLVILLE SHS,SHERBURNE EARLVILLE CENTRAL SCHOOL,Public School,0,99.7,100,100,100,100,100,100,100,100,100
12-31-2020,36119,Westchester County,660501999283,KEIO ACADEMY,NA,Private School,0,98.8,100,100,100,100,98,100,100,100,97
12-31-2023,36103,Suffolk County,580402060003,WEST SIDE SCHOOL,COLD SPRING HARBOR CENTRAL SCH,Public School,0,100,100,100,100,100,100,100,100,NA,100
12-31-2023,36059,Nassau County,280225020003,CHATTERTON SCHOOL,MERRICK UNION FREE SCHOOL,Public School,0,100,100,100,100,100,100,99.8,95,NA,99
12-31-2024,36103,Suffolk County,580801060000,SMITHTOWN CENTRAL SCHOOL DISTRICT,SMITHTOWN CENTRAL SCHOOL,School District,0,99.82,100,100,100,100,100,99.86,100,100,99
12-31-2020,36001,Albany County,10402060003,PIETER B COEYMANS SCHOOL,RAVENA COEYMANS SELKIRK CENTRAL SCHOOL,Public School,0,99.8,100,100,100,100,100,99.8,NA,NA,100
12-31-2023,36067,Onondaga County,421601060004,STATE STREET INTERMEDIATE SCHOOL,SKANEATELES CENTRAL SCHOOL,Public School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2021,36119,Westchester County,660501999283,KEIO ACADEMY,NA,Private School,0,99.3,100,100,100,100,100,100,99,100,99
12-31-2020,36117,Wayne County,650301040000,CLYDE-SAVANNAH CENTRAL SCHOOL,CLYDE-SAVANNAH CENTRAL SCHOOL,School District,0,99.9,100,100,100,100,100,99.9,100,100,100
12-31-2021,36029,Erie County,140203997683,GATEWAY-LONGVIEW THERAPEUTIC PRESCHOOL,NA,Private School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2022,36005,Bronx County,320700145216,ST ANSELM SCHOOL,NA,Private School,0,100,100,100,100,100,100,100,100,100,100
12-31-2023,36071,Orange County,441000145081,OUR LADY OF MT CARMEL SCHOOL,NA,Private School,1,99.2,99,99,99,99,99,99.2,95,100,98
12-31-2020,36027,Dutchess County,131701060008,MILL ROAD - PRIMARY GRADES,RED HOOK CENTRAL SCHOOL,Public School,0,99.1,100,100,100,99,99,98.8,NA,NA,98
12-31-2023,36059,Nassau County,280215229704,HAFTR MIDDLE SCHOOL ATTN: HEALTH OFFICE,NA,Private School,0,100,100,100,100,100,100,100,99,100,99
12-31-2021,36075,Oswego County,461901040002,SANDY CREEK ELEM SCHOOL,SANDY CREEK CENTRAL SCHOOL,Public School,0,99.4,100,100,100,99,99,99.7,NA,NA,99
12-31-2020,36047,Kings County,331500996927,PACKER COLLEGIATE INST,NA,Private School,0,100,100,100,100,100,100,100,100,100,100
12-31-2023,36075,Oswego County,460500010007,GRANBY ELEM SCHOOL,FULTON CITY SCHOOLS,Public School,0,100,100,100,100,100,100,99.6,100,NA,100
12-31-2020,36119,Westchester County,662300010016,SCHOOL 16,YONKERS CITY SCHOOLS,Public School,0,99.4,100,100,100,100,100,99.4,87,89,94
12-31-2022,36047,Kings County,331400226953,YESHIVA KEHILATH YAKOV (WILSON ST),NA,Private School,1,100,99,99,100,99,100,98.9,92,99,96
12-31-2021,36059,Nassau County,280224175578,HOLY NAME OF MARY SCHOOL,NA,Private School,0,100,100,100,100,100,100,100,98,100,99
12-31-2021,36081,Queens County,342500229646,QUEENS YESHIVA KTANA,NA,Private School,0,100,100,100,100,100,100,100,100,100,100
12-31-2020,36041,Hamilton County,200901040000,WELLS CENTRAL SCHOOL,WELLS CENTRAL SCHOOL,School District,0,100,100,100,100,100,100,100,100,100,100
12-31-2020,36037,Genesee County,181302040002,PEMBROKE J S H S,PEMBROKE CENTRAL SCHOOL,Public School,0,98.8,99,99,99,99,99,99,100,99,99
12-31-2021,36059,Nassau County,280229020001,CAMP AVENUE SCHOOL,NORTH MERRICK U F S,Public School,0,100,100,100,100,100,100,99.6,100,NA,100
12-31-2023,36059,Nassau County,280201860947,EVERGREEN CHARTER SCHOOL,NA,Private School,0,99.9,100,100,100,100,100,99.8,98,97,99
12-31-2021,36081,Queens County,342600126047,ST FRANCIS PREPARATORY SCHOOL,NA,Private School,0,100,100,100,100,100,100,99.9,100,100,100
12-31-2023,36059,Nassau County,280215227128,HAFTR ELEMENTARY SCHOOL,NA,Private School,0,100,100,100,100,100,100,100,NA,NA,100
12-31-2020,36119,Westchester County,662001145128,IMMACULATE HEART OF MARY SCHOOL,NA,Private School,0,98.1,99,98,100,98,98,98.1,96,100,92
12-31-2024,36087,Rockland County,500402229325,YESHIVA TZOIN YOSEF PUPA (BOYS),0.0,Private School,0,93.34,90,90,96,NA,96,87,NA,67,69
12-31-2022,36103,Suffolk County,580224030003,BAY AVENUE SCHOOL,PATCHOGUE-MEDFORD U F SCH,Public School,1,100,98,98,98,98,99,97.39999999999999,NA,NA,97
12-31-2023,36023,Cortland County,110701060000,HOMER CENTRAL SCHOOL DISTRICT,HOMER CENTRAL SCHOOL,School District,0,99.8,100,100,100,100,100,99.8,100,100,100
