OBJECTID,County,Survey_Type,Vaccine,Metric,Value_Percent,Enrollment,Year
47,ARAPAHOE,Kindergarten,Varicella,Fully Immunized,89.9,7721,2021/2022
48,ARAPAHOE,School,MMR,Fully Immunized,94.4,111651,2022/2023
49,ARAPAHOE,Child Care/Preschool,HepB,Fully Immunized,95.3,12920,2023/2024
50,ARAPAHOE,Child Care/Preschool,PCV,In Process,1.2,12592,2024/2025
51,ARAPAHOE,Kindergarten,MMR,In Process,0.3,7689,2024/2025
52,ARAPAHOE,Child Care/Preschool,Varicella,Medical Exemption,1,12034,2025/2026
53,ARAPAHOE,Kindergarten,DTaP,Incomplete Record,6.1,7463,2025/2026
54,ARAPAHOE,Kindergarten,MMR,Medical Exemption,0.2,7463,2025/2026
55,ARAPAHOE,Kindergarten,Polio,Nonmedical Exemption,2.5,7463,2025/2026
56,ARAPAHOE,School,DTaP,Incomplete Record,3.9,110535,2025/2026
57,ARCHULETA,School,MMR,Medical Exemption,0,1544,2017/2018
58,ARCHULETA,Kindergarten,Polio,No Record,0,116,2018/2019
59,ARCHULETA,Kindergarten,Varicella,Fully Immunized,78.4,116,2018/2019
60,ARCHULETA,Kindergarten,MMR,Incomplete Record,0,130,2019/2020
61,ARCHULETA,School,Varicella,Incomplete Record,0.1,1711,2019/2020
62,ARCHULETA,Child Care/Preschool,DTaP,Medical Exemption,0,88,2020/2021
63,ARCHULETA,Child Care/Preschool,HepB,No Record,0,88,2020/2021
64,ARCHULETA,Child Care/Preschool,Varicella,No Record,0,88,2020/2021
65,ARCHULETA,Child Care/Preschool,MMR,Medical Exemption,1.1,94,2021/2022
66,ARCHULETA,Child Care/Preschool,Varicella,In Process,0,94,2021/2022
67,ARCHULETA,Kindergarten,DTaP,Nonmedical Exemption,18,133,2021/2022
68,ARCHULETA,Kindergarten,Varicella,No Record,0.8,133,2021/2022
69,ARCHULETA,School,MMR,Fully Immunized,88.2,1765,2021/2022
70,ARCHULETA,School,MMR,Nonmedical Exemption,9.2,1765,2021/2022
71,ARCHULETA,School,Polio,Fully Immunized,88.3,1765,2021/2022
72,ARCHULETA,Child Care/Preschool,Polio,In Process,12.6,103,2022/2023
73,ARCHULETA,Kindergarten,HepB,Medical Exemption,1.4,139,2022/2023
74,ARCHULETA,School,HepB,Nonmedical Exemption,10.8,1858,2022/2023
75,ARCHULETA,School,Polio,Medical Exemption,0.2,1858,2022/2023
76,ARCHULETA,Child Care/Preschool,MMR,No Record,0,199,2024/2025
77,ARCHULETA,Child Care/Preschool,PCV,Fully Immunized,87.4,199,2024/2025
78,ARCHULETA,Kindergarten,MMR,In Process,0,108,2024/2025
79,ARCHULETA,School,Tdap,Nonmedical Exemption,11,957,2024/2025
80,ARCHULETA,Child Care/Preschool,MMR,In Process,1,201,2025/2026
81,ARCHULETA,Kindergarten,DTaP,Fully Immunized,80,115,2025/2026
82,ARCHULETA,Kindergarten,HepB,Incomplete Record,0.9,115,2025/2026
83,ARCHULETA,School,Polio,Incomplete Record,1.5,1711,2025/2026
84,BACA,Child Care/Preschool,PCV,Incomplete Record,0,93,2017/2018
85,BACA,School,Polio,In Process,0,552,2017/2018
86,BACA,Child Care/Preschool,PCV,Medical Exemption,0,85,2018/2019
87,BACA,Kindergarten,MMR,Fully Immunized,95.8,48,2018/2019
88,BACA,Child Care/Preschool,Hib,No Record,0,75,2019/2020
89,BACA,Child Care/Preschool,MMR,No Record,0,75,2019/2020
90,BACA,Child Care/Preschool,PCV,In Process,0,75,2019/2020
91,BACA,Kindergarten,Varicella,Nonmedical Exemption,6.3,48,2019/2020
92,BACA,School,MMR,Nonmedical Exemption,4.9,595,2019/2020
93,BACA,Kindergarten,MMR,No Record,0,41,2020/2021
94,BACA,School,DTaP,In Process,0.4,565,2020/2021
95,BACA,Child Care/Preschool,DTaP,Incomplete Record,0,79,2021/2022
96,BACA,Child Care/Preschool,MMR,Fully Immunized,96.2,79,2021/2022
97,BACA,Child Care/Preschool,MMR,In Process,0,79,2021/2022
98,BACA,School,DTaP,Medical Exemption,0,561,2021/2022
99,BACA,Child Care/Preschool,Hib,Medical Exemption,0,83,2022/2023
100,BACA,Child Care/Preschool,PCV,Medical Exemption,0,83,2022/2023
101,BACA,Kindergarten,DTaP,Incomplete Record,4.8,21,2023/2024
102,BACA,Kindergarten,Varicella,No Record,0,21,2023/2024
103,BACA,Child Care/Preschool,DTaP,Fully Immunized,87.1,62,2024/2025
104,BACA,School,Polio,No Record,0,528,2025/2026
105,BENT,Child Care/Preschool,DTaP,Fully Immunized,94.7,95,2018/2019
106,BENT,Kindergarten,HepB,Incomplete Record,0,50,2018/2019
107,BENT,School,DTaP,Fully Immunized,97.4,937,2018/2019
108,BENT,School,Polio,In Process,0,937,2018/2019
109,BENT,School,HepB,No Record,0,671,2019/2020
110,BENT,School,Polio,Nonmedical Exemption,2.7,671,2019/2020
111,BENT,Child Care/Preschool,,Summary Compliant,100,38,2020/2021
112,BENT,Kindergarten,Polio,Nonmedical Exemption,14.3,7,2020/2021
113,BENT,School,HepB,Fully Immunized,99,203,2020/2021
114,BENT,School,Tdap,Fully Immunized,100,130,2020/2021
115,BENT,Child Care/Preschool,MMR,Nonmedical Exemption,4.7,43,2021/2022
116,BENT,Child Care/Preschool,Varicella,Medical Exemption,0,43,2021/2022
117,BENT,Kindergarten,Varicella,Nonmedical Exemption,0,10,2021/2022
118,BENT,School,Tdap,Nonmedical Exemption,1.5,135,2021/2022
119,BENT,Child Care/Preschool,Varicella,Fully Immunized,90.9,44,2022/2023
120,BENT,Child Care/Preschool,HepB,Fully Immunized,93.6,47,2023/2024
121,BENT,Kindergarten,Varicella,Fully Immunized,89.8,49,2023/2024
122,BENT,School,DTaP,Medical Exemption,0,676,2023/2024
123,BENT,Child Care/Preschool,Hib,Incomplete Record,0,35,2024/2025
124,BENT,Child Care/Preschool,Polio,Medical Exemption,0,35,2024/2025
125,BENT,Kindergarten,MMR,Medical Exemption,0,46,2024/2025
126,BENT,Kindergarten,HepB,Nonmedical Exemption,4.8,42,2025/2026
127,BENT,Kindergarten,Varicella,Nonmedical Exemption,4.8,42,2025/2026
128,BOULDER,Child Care/Preschool,Hib,Medical Exemption,0.2,7219,2017/2018
129,BOULDER,Child Care/Preschool,PCV,In Process,2.1,7219,2017/2018
130,BOULDER,Child Care/Preschool,PCV,Nonmedical Exemption,4.7,7219,2017/2018
131,BOULDER,Child Care/Preschool,Polio,Nonmedical Exemption,5.5,7219,2017/2018
132,BOULDER,Kindergarten,DTaP,No Record,0.7,4479,2017/2018
133,BOULDER,School,HepB,In Process,0.1,63263,2017/2018
134,BOULDER,Child Care/Preschool,Hib,Incomplete Record,0.8,6259,2018/2019
135,BOULDER,School,Polio,Fully Immunized,89.9,47180,2018/2019
136,BOULDER,School,Tdap,Nonmedical Exemption,4.7,26120,2018/2019
137,BOULDER,Child Care/Preschool,MMR,In Process,1,7004,2019/2020
138,BOULDER,Child Care/Preschool,PCV,Incomplete Record,1,7004,2019/2020
139,BOULDER,School,Polio,Nonmedical Exemption,4.5,61783,2019/2020
140,BOULDER,Kindergarten,MMR,No Record,0.8,3835,2020/2021
141,BOULDER,Child Care/Preschool,DTaP,In Process,0.9,6003,2021/2022
142,BOULDER,School,COVID,Nonmedical Exemption,0,58490,2021/2022
143,BOULDER,Child Care/Preschool,Hib,In Process,0.8,6128,2022/2023
144,BOULDER,Child Care/Preschool,MMR,No Record,0.1,6128,2022/2023
145,BOULDER,School,HepB,Incomplete Record,1.4,59401,2022/2023
146,BOULDER,Child Care/Preschool,HepB,No Record,0.4,5568,2023/2024
147,BOULDER,Child Care/Preschool,Polio,Medical Exemption,0.1,5568,2023/2024
148,BOULDER,Kindergarten,DTaP,No Record,0.8,3852,2023/2024
149,BOULDER,Child Care/Preschool,HepB,In Process,0.6,5880,2024/2025
150,BOULDER,School,HepB,In Process,0.1,58607,2024/2025
151,BOULDER,School,Tdap,No Record,0.7,33852,2025/2026
152,BROOMFIELD,Child Care/Preschool,Varicella,Fully Immunized,94.3,2051,2017/2018
153,BROOMFIELD,Kindergarten,HepB,Incomplete Record,0,185,2017/2018
154,BROOMFIELD,School,MMR,In Process,0.5,1709,2017/2018
155,BROOMFIELD,Child Care/Preschool,PCV,Incomplete Record,0.1,1503,2018/2019
156,BROOMFIELD,School,DTaP,In Process,0,13053,2018/2019
157,BROOMFIELD,School,HepB,Fully Immunized,94.5,13053,2018/2019
158,BROOMFIELD,Child Care/Preschool,Hib,No Record,0.2,1660,2019/2020
159,BROOMFIELD,Kindergarten,Varicella,Incomplete Record,0.9,212,2019/2020
160,BROOMFIELD,School,Tdap,No Record,0,1039,2019/2020
161,BROOMFIELD,Child Care/Preschool,DTaP,In Process,1,1653,2020/2021
162,BROOMFIELD,Child Care/Preschool,Hib,Medical Exemption,0,1653,2020/2021
163,BROOMFIELD,School,DTaP,Incomplete Record,0.5,2300,2020/2021
164,BROOMFIELD,School,Polio,Nonmedical Exemption,2.7,2300,2020/2021
165,BROOMFIELD,Child Care/Preschool,Hib,Nonmedical Exemption,0.9,1710,2021/2022
166,BROOMFIELD,School,DTaP,Medical Exemption,0.2,2306,2021/2022
167,BROOMFIELD,Child Care/Preschool,Polio,Incomplete Record,0.4,1828,2022/2023
168,BROOMFIELD,School,MMR,No Record,0,2248,2022/2023
169,BROOMFIELD,School,Tdap,Incomplete Record,0.1,1318,2022/2023
170,BROOMFIELD,Child Care/Preschool,DTaP,No Record,0.2,1702,2023/2024
171,BROOMFIELD,Child Care/Preschool,MMR,Nonmedical Exemption,1.6,1702,2023/2024
172,BROOMFIELD,Child Care/Preschool,PCV,Medical Exemption,0.1,1702,2023/2024
173,BROOMFIELD,School,Varicella,Incomplete Record,0.4,2300,2023/2024
174,BROOMFIELD,Kindergarten,DTaP,In Process,0,175,2024/2025
175,BROOMFIELD,Kindergarten,Polio,Medical Exemption,0.6,175,2024/2025
176,BROOMFIELD,School,Polio,No Record,0,2247,2024/2025
177,BROOMFIELD,School,DTaP,Nonmedical Exemption,3.2,2189,2025/2026
178,CHAFFEE,Child Care/Preschool,PCV,Fully Immunized,84.6,351,2017/2018
179,CHAFFEE,School,Varicella,In Process,1.6,2326,2017/2018
180,CHAFFEE,Child Care/Preschool,,Summary Compliant,91.3,343,2018/2019
181,CHAFFEE,Child Care/Preschool,Hib,Fully Immunized,85.1,343,2018/2019
182,CHAFFEE,Child Care/Preschool,MMR,No Record,0,343,2018/2019
183,CHAFFEE,School,HepB,Medical Exemption,0.1,1481,2018/2019
184,CHAFFEE,School,Tdap,No Record,0.2,580,2018/2019
185,CHAFFEE,Kindergarten,HepB,No Record,2.2,181,2019/2020
186,CHAFFEE,School,MMR,No Record,3,2372,2019/2020
187,CHAFFEE,School,Polio,No Record,3,2372,2019/2020
188,CHAFFEE,Child Care/Preschool,Varicella,Fully Immunized,84.9,391,2021/2022
189,CHAFFEE,School,,Summary Compliant,87.5,1969,2021/2022
190,CHAFFEE,Kindergarten,DTaP,Nonmedical Exemption,5.8,191,2022/2023
191,CHAFFEE,School,MMR,Medical Exemption,0.3,2429,2022/2023
192,CHAFFEE,Child Care/Preschool,Hib,No Record,2,405,2023/2024
193,CHAFFEE,Child Care/Preschool,PCV,Nonmedical Exemption,4.7,405,2023/2024
194,CHAFFEE,Child Care/Preschool,Polio,Medical Exemption,0,405,2023/2024
195,CHAFFEE,School,Tdap,No Record,3.2,593,2023/2024
196,CHAFFEE,School,Varicella,Fully Immunized,87.5,1158,2023/2024
197,CHEYENNE,Kindergarten,Varicella,Fully Immunized,90.3,31,2017/2018
198,CHEYENNE,Child Care/Preschool,Hib,Incomplete Record,0,17,2018/2019
199,CHEYENNE,School,Polio,Medical Exemption,0,265,2018/2019
200,CHEYENNE,Child Care/Preschool,Polio,Nonmedical Exemption,11.5,26,2019/2020
201,CHEYENNE,Child Care/Preschool,Varicella,Medical Exemption,0,26,2019/2020
202,CHEYENNE,School,HepB,Nonmedical Exemption,2.9,278,2019/2020
203,CHEYENNE,School,Tdap,Fully Immunized,93.1,145,2019/2020
204,CHEYENNE,Kindergarten,Polio,Nonmedical Exemption,18.2,22,2020/2021
205,CHEYENNE,Child Care/Preschool,Varicella,Fully Immunized,84.2,19,2021/2022
206,CHEYENNE,Kindergarten,MMR,Fully Immunized,87.5,16,2021/2022
207,CHEYENNE,Kindergarten,MMR,Incomplete Record,0,16,2021/2022
208,CHEYENNE,School,HepB,Incomplete Record,0,273,2021/2022
209,CHEYENNE,School,Polio,Fully Immunized,92.7,261,2022/2023
210,CHEYENNE,Child Care/Preschool,MMR,Fully Immunized,91.7,24,2023/2024
211,CHEYENNE,School,Varicella,Fully Immunized,95.1,266,2023/2024
212,CHEYENNE,Child Care/Preschool,MMR,Incomplete Record,0,11,2024/2025
213,CHEYENNE,Child Care/Preschool,Varicella,No Record,0,14,2025/2026
214,CLEAR CREEK,Kindergarten,HepB,In Process,0,55,2017/2018
215,CLEAR CREEK,School,MMR,No Record,0.7,751,2017/2018
216,CLEAR CREEK,Child Care/Preschool,,Summary Compliant,90.1,71,2018/2019
217,CLEAR CREEK,Child Care/Preschool,Varicella,Incomplete Record,2.8,71,2018/2019
218,CLEAR CREEK,School,MMR,In Process,0,695,2018/2019
219,CLEAR CREEK,Child Care/Preschool,DTaP,In Process,0,60,2019/2020
220,CLEAR CREEK,School,HepB,No Record,0.2,654,2019/2020
221,CLEAR CREEK,Child Care/Preschool,HepB,Medical Exemption,0,87,2020/2021
222,CLEAR CREEK,Child Care/Preschool,Hib,Fully Immunized,95.4,87,2020/2021
223,CLEAR CREEK,Child Care/Preschool,PCV,Medical Exemption,0,87,2020/2021
224,CLEAR CREEK,Child Care/Preschool,Polio,Nonmedical Exemption,2.3,87,2020/2021
225,CLEAR CREEK,Kindergarten,Polio,Fully Immunized,89.5,38,2020/2021
226,CLEAR CREEK,Child Care/Preschool,DTaP,Fully Immunized,93.2,73,2021/2022
227,CLEAR CREEK,Child Care/Preschool,HepB,Medical Exemption,0,97,2022/2023
228,CLEAR CREEK,Child Care/Preschool,Varicella,Medical Exemption,0,97,2022/2023
229,CLEAR CREEK,Kindergarten,Varicella,Medical Exemption,0,39,2022/2023
230,CLEAR CREEK,Kindergarten,Varicella,Incomplete Record,4.3,47,2023/2024
231,CLEAR CREEK,Child Care/Preschool,Varicella,In Process,2.7,75,2024/2025
232,CLEAR CREEK,Kindergarten,Polio,No Record,6.1,49,2024/2025
233,CLEAR CREEK,School,DTaP,Incomplete Record,1.2,603,2024/2025
234,CLEAR CREEK,Child Care/Preschool,Polio,Fully Immunized,86.7,60,2025/2026
235,CLEAR CREEK,Child Care/Preschool,Varicella,Nonmedical Exemption,6.7,60,2025/2026
236,CONEJOS,Kindergarten,DTaP,In Process,0,112,2017/2018
237,CONEJOS,School,Varicella,Medical Exemption,0,1335,2017/2018
238,CONEJOS,Kindergarten,Polio,Nonmedical Exemption,5.1,118,2018/2019
239,CONEJOS,School,DTaP,Incomplete Record,2.3,1370,2018/2019
240,CONEJOS,Child Care/Preschool,PCV,No Record,3.6,165,2019/2020
241,CONEJOS,Kindergarten,Varicella,Fully Immunized,86.2,87,2021/2022
242,CONEJOS,School,COVID,Nonmedical Exemption,0,778,2021/2022
243,CONEJOS,School,Varicella,Medical Exemption,0,778,2021/2022
244,CONEJOS,School,MMR,Medical Exemption,0.1,1512,2022/2023
245,CONEJOS,School,Tdap,Incomplete Record,10.7,852,2022/2023
246,CONEJOS,Child Care/Preschool,Varicella,Incomplete Record,6.3,95,2023/2024
247,CONEJOS,Child Care/Preschool,Varicella,Medical Exemption,0,95,2023/2024
248,CONEJOS,Child Care/Preschool,HepB,Nonmedical Exemption,1.1,92,2024/2025
249,CONEJOS,Kindergarten,HepB,Nonmedical Exemption,0,85,2024/2025
250,CONEJOS,Kindergarten,Varicella,Incomplete Record,7.1,85,2024/2025
251,CONEJOS,Child Care/Preschool,HepB,Incomplete Record,0,171,2025/2026
252,CONEJOS,Child Care/Preschool,Polio,In Process,1.2,171,2025/2026
253,COSTILLA,Child Care/Preschool,Polio,Nonmedical Exemption,0,56,2018/2019
254,COSTILLA,Kindergarten,DTaP,Fully Immunized,87.9,33,2018/2019
255,COSTILLA,School,DTaP,Nonmedical Exemption,0.4,474,2018/2019
256,COSTILLA,Child Care/Preschool,HepB,Nonmedical Exemption,0,25,2019/2020
257,COSTILLA,Child Care/Preschool,MMR,No Record,0,25,2019/2020
258,COSTILLA,Kindergarten,,Summary Compliant,89.5,19,2019/2020
259,COSTILLA,Kindergarten,Polio,Fully Immunized,94.7,19,2019/2020
260,COSTILLA,Child Care/Preschool,DTaP,Medical Exemption,0,69,2022/2023
261,COSTILLA,Child Care/Preschool,HepB,No Record,0,69,2022/2023
262,COSTILLA,Child Care/Preschool,MMR,Nonmedical Exemption,0,69,2022/2023
263,COSTILLA,Kindergarten,DTaP,Incomplete Record,6.3,32,2022/2023
264,COSTILLA,School,Polio,Medical Exemption,0,429,2022/2023
265,COSTILLA,Child Care/Preschool,Polio,Medical Exemption,0,68,2024/2025
266,COSTILLA,Child Care/Preschool,Hib,Incomplete Record,0,66,2025/2026
267,COSTILLA,Child Care/Preschool,MMR,Fully Immunized,93.9,66,2025/2026
268,COSTILLA,Kindergarten,Varicella,Incomplete Record,0,29,2025/2026
269,COSTILLA,School,Polio,Fully Immunized,96.4,418,2025/2026
270,COSTILLA,School,Tdap,Fully Immunized,96.1,231,2025/2026
271,CROWLEY,Child Care/Preschool,Varicella,Medical Exemption,0,44,2017/2018
272,CROWLEY,School,HepB,Fully Immunized,97.8,449,2017/2018
273,CROWLEY,Child Care/Preschool,PCV,Medical Exemption,0,35,2019/2020
274,CROWLEY,Child Care/Preschool,Polio,In Process,0,35,2019/2020
275,CROWLEY,Kindergarten,MMR,In Process,0,26,2019/2020
276,CROWLEY,Kindergarten,Polio,Medical Exemption,0,13,2020/2021
277,CROWLEY,Kindergarten,Varicella,Fully Immunized,100,13,2020/2021
278,CROWLEY,Child Care/Preschool,HepB,No Record,0,39,2021/2022
279,CROWLEY,Child Care/Preschool,MMR,Incomplete Record,0,39,2021/2022
280,CROWLEY,Child Care/Preschool,HepB,Nonmedical Exemption,3.1,32,2022/2023
281,CROWLEY,Kindergarten,DTaP,Incomplete Record,0,25,2022/2023
282,CROWLEY,School,DTaP,Medical Exemption,0,378,2022/2023
283,CROWLEY,School,DTaP,No Record,0,335,2023/2024
284,CROWLEY,Kindergarten,Polio,Fully Immunized,88.2,17,2024/2025
285,CROWLEY,Kindergarten,Polio,Medical Exemption,0,17,2024/2025
286,CROWLEY,School,DTaP,Medical Exemption,0,308,2025/2026
287,CROWLEY,School,HepB,Nonmedical Exemption,5.2,308,2025/2026
288,CUSTER,Child Care/Preschool,Hib,Medical Exemption,0,25,2017/2018
289,CUSTER,Child Care/Preschool,PCV,No Record,8,25,2017/2018
290,CUSTER,School,DTaP,Medical Exemption,0,376,2017/2018
291,CUSTER,Kindergarten,DTaP,No Record,0,22,2018/2019
292,CUSTER,School,MMR,Incomplete Record,0,357,2018/2019
293,CUSTER,School,Polio,Nonmedical Exemption,6.4,357,2018/2019
294,CUSTER,Kindergarten,Polio,Incomplete Record,0,27,2019/2020
295,CUSTER,Kindergarten,Polio,Nonmedical Exemption,3.7,27,2019/2020
296,CUSTER,School,DTaP,Incomplete Record,0,372,2019/2020
297,CUSTER,Kindergarten,Polio,Fully Immunized,70.6,17,2020/2021
298,CUSTER,School,MMR,Incomplete Record,3,331,2020/2021
299,CUSTER,School,Tdap,Medical Exemption,0,188,2020/2021
300,CUSTER,School,DTaP,Nonmedical Exemption,1.2,326,2021/2022
301,CUSTER,Child Care/Preschool,PCV,Medical Exemption,0,29,2022/2023
302,CUSTER,Kindergarten,HepB,In Process,8.7,23,2022/2023
303,CUSTER,Kindergarten,Varicella,No Record,0,23,2022/2023
304,CUSTER,School,HepB,Incomplete Record,0,316,2022/2023
305,CUSTER,School,Varicella,Fully Immunized,87.7,316,2022/2023
306,CUSTER,School,Tdap,In Process,11.9,202,2023/2024
307,CUSTER,Child Care/Preschool,DTaP,Nonmedical Exemption,16.2,37,2024/2025
308,CUSTER,Child Care/Preschool,Hib,Medical Exemption,0,37,2024/2025
309,CUSTER,Child Care/Preschool,HepB,Nonmedical Exemption,11.9,42,2025/2026
310,CUSTER,Kindergarten,HepB,No Record,0,78,2025/2026
311,CUSTER,School,Varicella,No Record,0,813,2025/2026
312,DELTA,Child Care/Preschool,MMR,Nonmedical Exemption,3.5,482,2017/2018
313,DELTA,Child Care/Preschool,PCV,Medical Exemption,0,482,2017/2018
314,DELTA,Kindergarten,HepB,Incomplete Record,2.4,340,2017/2018
315,DELTA,School,Tdap,Nonmedical Exemption,8.2,2572,2017/2018
316,DELTA,Child Care/Preschool,DTaP,No Record,0,470,2018/2019
317,DELTA,Child Care/Preschool,Polio,Incomplete Record,0.6,470,2018/2019
318,DELTA,Child Care/Preschool,Varicella,Nonmedical Exemption,10.2,470,2018/2019
319,DELTA,School,DTaP,In Process,0,4691,2018/2019
320,DELTA,Child Care/Preschool,Hib,Nonmedical Exemption,6.3,331,2020/2021
321,DELTA,Child Care/Preschool,HepB,Medical Exemption,0,418,2021/2022
322,DELTA,Kindergarten,DTaP,Nonmedical Exemption,16.7,431,2021/2022
323,DELTA,Kindergarten,Polio,Fully Immunized,82.6,431,2021/2022
324,DELTA,Child Care/Preschool,,Summary Compliant,98.5,405,2022/2023
325,DELTA,Kindergarten,DTaP,In Process,0,426,2022/2023
326,DELTA,Child Care/Preschool,Polio,No Record,0.2,412,2023/2024
327,DELTA,Kindergarten,Varicella,In Process,0,379,2023/2024
328,DELTA,School,Tdap,No Record,0.2,2427,2023/2024
329,DELTA,Child Care/Preschool,MMR,Incomplete Record,0,391,2024/2025
330,DELTA,Kindergarten,HepB,In Process,0,280,2024/2025
331,DELTA,School,DTaP,In Process,0,4164,2024/2025
332,DELTA,School,Polio,In Process,0,4164,2024/2025
333,DELTA,School,Varicella,Nonmedical Exemption,13.5,4164,2024/2025
334,DELTA,Child Care/Preschool,HepB,Medical Exemption,0.5,384,2025/2026
335,DELTA,Child Care/Preschool,Polio,Incomplete Record,0.5,384,2025/2026
336,DELTA,Kindergarten,MMR,Nonmedical Exemption,23.4,274,2025/2026
337,DELTA,Kindergarten,Varicella,Medical Exemption,0.4,274,2025/2026
338,DELTA,School,Polio,In Process,0,4026,2025/2026
339,DELTA,School,Varicella,Incomplete Record,1,4026,2025/2026
340,DENVER,Child Care/Preschool,Polio,Medical Exemption,0.1,16163,2017/2018
341,DENVER,Child Care/Preschool,Polio,No Record,2.5,12416,2018/2019
342,DENVER,School,HepB,Incomplete Record,3,90568,2018/2019
343,DENVER,School,HepB,Medical Exemption,0.1,90568,2018/2019
344,DENVER,School,Tdap,Nonmedical Exemption,0.3,45483,2018/2019
345,DENVER,Kindergarten,Varicella,In Process,0.8,8035,2019/2020
346,DENVER,School,HepB,Medical Exemption,0.1,94833,2019/2020
347,DENVER,Kindergarten,Varicella,Incomplete Record,5.6,7322,2020/2021
348,DENVER,School,Tdap,Fully Immunized,88.1,50175,2020/2021
349,DENVER,School,Tdap,No Record,0.1,47495,2021/2022
350,DENVER,Child Care/Preschool,DTaP,No Record,1.4,13003,2022/2023
351,DENVER,Child Care/Preschool,PCV,Fully Immunized,95.3,13003,2022/2023
352,DENVER,Kindergarten,HepB,In Process,0.1,7400,2022/2023
353,DENVER,Kindergarten,MMR,Medical Exemption,0.1,7269,2024/2025
354,DENVER,School,HepB,In Process,0.1,92597,2024/2025
355,DENVER,Child Care/Preschool,DTaP,Nonmedical Exemption,1.6,13881,2025/2026
356,DENVER,Child Care/Preschool,Hib,Incomplete Record,2.1,13881,2025/2026
357,DENVER,Kindergarten,HepB,Medical Exemption,0,7278,2025/2026
358,DOLORES,Kindergarten,MMR,Medical Exemption,0,40,2017/2018
359,DOLORES,School,DTaP,In Process,0,440,2017/2018
