time,county,geography_name,school_name,district,school_type,grade,n_students,n_complete,pct_complete,n_provisional,n_incomplete,n_waiver_total,pct_waiver_total,n_waiver_medical,pct_waiver_medical,n_waiver_religious,pct_waiver_religious,n_waiver_philosophical,pct_waiver_philosophical,geography,state
12-31-2023,Wayne,Wayne County,Inter-City Baptist School,Melvindale-North Allen Park Schools,Priv,Kindergarten,18.00,12.00,66.70,1.00,0.00,5.00,27.80,0.00,0.00,1.00,5.60,4.00,22.20,26163,MI
12-31-2023,Monroe,Monroe County,Loren Eyler Elementary School,Airport Community School District,Pub,Kindergarten,47.00,44.00,93.60,0.00,0.00,3.00,6.40,0.00,0.00,2.00,4.30,1.00,2.10,26115,MI
12-31-2023,Monroe,Monroe County,Fred W Ritter Elementary School,Airport Community School District,Pub,Kindergarten,31.00,29.00,93.50,0.00,1.00,1.00,3.20,0.00,0.00,1.00,3.20,0.00,0.00,26115,MI
12-31-2023,Oakland,Oakland County,Pattengill Elementary School,Berkley School District,Pub,Kindergarten,49.00,46.00,93.90,0.00,1.00,2.00,4.10,0.00,0.00,1.00,2.00,1.00,2.00,26125,MI
12-31-2023,Washtenaw,Washtenaw County,St Francis of Assisi School,Ann Arbor Public Schools,Priv,Kindergarten,49.00,45.00,91.80,0.00,2.00,2.00,4.10,1.00,2.00,0.00,0.00,1.00,2.00,26161,MI
12-31-2023,Washtenaw,Washtenaw County,Thurston Elementary School,Ann Arbor Public Schools,Pub,Kindergarten,83.00,79.00,95.20,0.00,1.00,3.00,3.60,0.00,0.00,0.00,0.00,3.00,3.60,26161,MI
12-31-2023,Washtenaw,Washtenaw County,Wines Elementary School,Ann Arbor Public Schools,Pub,Kindergarten,67.00,64.00,95.50,0.00,1.00,2.00,3.00,0.00,0.00,0.00,0.00,2.00,3.00,26161,MI
12-31-2023,Washtenaw,Washtenaw County,Burns Park Elementary School,Ann Arbor Public Schools,Pub,Kindergarten,77.00,71.00,92.20,0.00,4.00,2.00,2.60,1.00,1.30,0.00,0.00,1.00,1.30,26161,MI
12-31-2023,Washtenaw,Washtenaw County,Mary D. Mitchell School,Ann Arbor Public Schools,Pub,Kindergarten,58.00,52.00,89.70,0.00,3.00,3.00,5.20,0.00,0.00,2.00,3.40,1.00,1.70,26161,MI
12-31-2023,Washtenaw,Washtenaw County,Ann Arbor STEAM at Northside School,Ann Arbor Public Schools,Pub,Kindergarten,86.00,82.00,95.30,0.00,3.00,1.00,1.20,0.00,0.00,0.00,0.00,1.00,1.20,26161,MI
12-31-2023,Kent,Kent County,Grand View Elementary School,Grandville Public Schools,Pub,Kindergarten,84.00,82.00,97.60,0.00,0.00,2.00,2.40,0.00,0.00,2.00,2.40,0.00,0.00,26081,MI
12-31-2023,Oakland,Oakland County,Four Corners Montessori Academy,Four Corners Montessori Academy,Pub,Kindergarten,28.00,20.00,71.40,0.00,2.00,6.00,21.40,0.00,0.00,1.00,3.60,5.00,17.90,26125,MI
12-31-2023,Wayne,Wayne County,Achieve Charter Academy,Achieve Charter Academy,Pub,Kindergarten,94.00,93.00,98.90,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26163,MI
12-31-2023,Macomb,Macomb County,Michigan Mathematics and Science Academy Lorraine,Michigan Math and Science Academy,Pub,Kindergarten,35.00,28.00,80.00,1.00,3.00,3.00,8.60,0.00,0.00,2.00,5.70,1.00,2.90,26099,MI
12-31-2023,Wayne,Wayne County,Quest Charter Academy,Quest Academy,Pub,Kindergarten,100.00,86.00,86.00,1.00,7.00,6.00,6.00,0.00,0.00,4.00,4.00,2.00,2.00,26163,MI
12-31-2023,Macomb,Macomb County,Joseph G Steenland Elem School,Roseville Community Schools,Pub,Kindergarten,39.00,37.00,94.90,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26099,MI
12-31-2023,Wayne,Wayne County,Washington-Parks Academy,Washington-Parks Academy,Pub,Kindergarten,70.00,63.00,90.00,0.00,3.00,4.00,5.70,0.00,0.00,2.00,2.90,2.00,2.90,26163,MI
12-31-2023,Macomb,Macomb County,Endeavour Elementary and Middle School,New Haven Community Schools,Pub,Kindergarten,32.00,25.00,78.10,0.00,2.00,5.00,15.60,0.00,0.00,1.00,3.10,4.00,12.50,26099,MI
12-31-2023,Wayne,Wayne County,Brookfield Academy - Livonia,Livonia Public Schools,Priv,Kindergarten,5.00,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26163,MI
12-31-2023,Wayne,Wayne County,Global Heights Academy,Global Heights Academy,Pub,Kindergarten,44.00,40.00,90.90,0.00,3.00,1.00,2.30,0.00,0.00,1.00,2.30,0.00,0.00,26163,MI
12-31-2023,Macomb,Macomb County,Noor International Academy,Noor International Academy,Pub,Kindergarten,22.00,20.00,90.90,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26099,MI
12-31-2023,Wayne,Wayne County,Beech Elementary School,Redford Union School District,Pub,Kindergarten,33.00,25.00,75.80,0.00,6.00,2.00,6.10,0.00,0.00,2.00,6.10,0.00,0.00,26163,MI
12-31-2023,Washtenaw,Washtenaw County,East Arbor Charter Academy,East Arbor Charter Academy,Pub,Kindergarten,48.00,39.00,81.30,1.00,3.00,5.00,10.40,0.00,0.00,2.00,4.20,3.00,6.30,26161,MI
12-31-2023,Wayne,Wayne County,South Canton Scholars Charter Academy,South Canton Scholars Charter Academy,Pub,Kindergarten,92.00,82.00,89.10,0.00,3.00,7.00,7.60,0.00,0.00,5.00,5.40,2.00,2.20,26163,MI
12-31-2023,Wayne,Wayne County,American International Academy - Elementary,American International Academy,Pub,Kindergarten,57.00,45.00,78.90,6.00,3.00,3.00,5.30,1.00,1.80,2.00,3.50,0.00,0.00,26163,MI
12-31-2023,Washtenaw,Washtenaw County,Ford Early Learning Center,Ypsilanti Community Schools,Pub,Kindergarten,116.00,97.00,83.60,4.00,5.00,10.00,8.60,0.00,0.00,5.00,4.30,5.00,4.30,26161,MI
12-31-2023,Oakland,Oakland County,Oakdale Academy,Waterford School District,Priv,Kindergarten,28.00,8.00,28.60,0.00,2.00,17.00,60.70,0.00,0.00,13.00,46.40,4.00,14.30,26125,MI
12-31-2023,Oakland,Oakland County,Oxford Virtual Academy,Oxford Area Community Schools,Pub,Kindergarten,163.00,77.00,47.20,0.00,2.00,84.00,51.50,1.00,0.60,37.00,22.70,46.00,28.20,26125,MI
12-31-2023,Oakland,Oakland County,For Kids Sake Learning Ctr - Kindergarten,Southfield Public School District,Priv,Kindergarten,12.00,10.00,83.30,0.00,1.00,1.00,8.30,0.00,0.00,1.00,8.30,0.00,0.00,26125,MI
12-31-2023,Washtenaw,Washtenaw County,South Pointe Scholars Charter Academy,South Pointe Scholars Charter Academy,Pub,Kindergarten,102.00,87.00,85.30,0.00,8.00,7.00,6.90,0.00,0.00,6.00,5.90,1.00,1.00,26161,MI
12-31-2023,Wayne,Wayne County,Caniff Liberty Academy,Caniff Liberty Academy,Pub,Kindergarten,60.00,54.00,90.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26163,MI
12-31-2023,Oakland,Oakland County,Faxon Academy,Faxon Academy,Pub,Kindergarten,17.00,14.00,82.40,0.00,2.00,1.00,5.90,0.00,0.00,1.00,5.90,0.00,0.00,26125,MI
12-31-2023,Wayne,Wayne County,Plymouth Scholars Charter Academy,Plymouth Scholars Charter Academy,Pub,Kindergarten,109.00,102.00,93.60,0.00,3.00,4.00,3.70,0.00,0.00,3.00,2.80,1.00,0.90,26163,MI
12-31-2023,Macomb,Macomb County,Chiquitos Bilingual Montessori School,Utica Community Schools,Priv,Kindergarten,12.00,9.00,75.00,0.00,0.00,3.00,25.00,0.00,0.00,1.00,8.30,2.00,16.70,26099,MI
12-31-2023,Oakland,Oakland County,Crescent Academy - Kindergarten,Crescent Academy,Pub,Kindergarten,94.00,79.00,84.00,3.00,5.00,7.00,7.40,0.00,0.00,2.00,2.10,5.00,5.30,26125,MI
12-31-2023,Wayne,Wayne County,Tipton Academy PK-3,Tipton Academy,Pub,Kindergarten,81.00,76.00,93.80,2.00,2.00,1.00,1.20,0.00,0.00,1.00,1.20,0.00,0.00,26163,MI
12-31-2023,Macomb,Macomb County,Macomb Montessori Academy,Macomb Montessori Academy,Pub,Kindergarten,47.00,40.00,85.10,0.00,4.00,3.00,6.40,0.00,0.00,3.00,6.40,0.00,0.00,26099,MI
12-31-2023,Oakland,Oakland County,Momentum Academy,Momentum Academy,Pub,Kindergarten,29.00,28.00,96.60,0.00,0.00,1.00,3.40,0.00,0.00,0.00,0.00,1.00,3.40,26125,MI
12-31-2023,Oakland,Oakland County,Waterford Montessori Academy,Waterford Montessori Academy,Pub,Kindergarten,46.00,35.00,76.10,0.00,1.00,10.00,21.70,0.00,0.00,2.00,4.30,8.00,17.40,26125,MI
12-31-2023,Oakland,Oakland County,The Montessori School Rochester,Avondale School District,Priv,Kindergarten,18.00,14.00,77.80,0.00,2.00,2.00,11.10,0.00,0.00,1.00,5.60,1.00,5.60,26125,MI
12-31-2023,Oakland,Oakland County,Oakside Prep Academy,Oakside Scholars Charter Academy,Pub,Kindergarten,88.00,79.00,89.80,1.00,5.00,3.00,3.40,0.00,0.00,0.00,0.00,3.00,3.40,26125,MI
12-31-2023,Washtenaw,Washtenaw County,Global Tech Academy,Global Tech Academy,Pub,Kindergarten,16.00,13.00,81.30,0.00,2.00,1.00,6.30,0.00,0.00,1.00,6.30,0.00,0.00,26161,MI
12-31-2023,Oakland,Oakland County,Kingsbury Country Day School,Kingsbury Country Day School,Pub,Kindergarten,23.00,20.00,87.00,0.00,0.00,3.00,13.00,0.00,0.00,0.00,0.00,3.00,13.00,26125,MI
12-31-2023,Wayne,Wayne County,Branch Line School,Branch Line School,Pub,Kindergarten,17.00,13.00,76.50,0.00,1.00,3.00,17.60,0.00,0.00,1.00,5.90,2.00,11.80,26163,MI
12-31-2023,Oakland,Oakland County,International Technology Academy,Pontiac City School District,Pub,Kindergarten,79.00,68.00,86.10,7.00,1.00,3.00,3.80,0.00,0.00,0.00,0.00,3.00,3.80,26125,MI
12-31-2023,Oakland,Oakland County,Holy Family Regional School Lower,Rochester Community School District,Priv,Kindergarten,134.00,75.00,56.00,0.00,4.00,55.00,41.00,1.00,0.70,24.00,17.90,30.00,22.40,26125,MI
12-31-2023,Macomb,Macomb County,Michigan Montessori Childrens Academy KD,Utica Community Schools,Priv,Kindergarten,14.00,14.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26099,MI
12-31-2023,Wayne,Wayne County,Grand River Academy,Grand River Academy,Pub,Kindergarten,76.00,64.00,84.20,2.00,3.00,7.00,9.20,1.00,1.30,3.00,3.90,3.00,3.90,26163,MI
12-31-2023,Wayne,Wayne County,Niji Iro Japanese Immersion Elementary School,Livonia Public Schools,Pub,Kindergarten,44.00,42.00,95.50,0.00,0.00,2.00,4.50,1.00,2.30,0.00,0.00,1.00,2.30,26163,MI
12-31-2023,St. Clair,St. Clair County,East Shore Leadership Academy,East Shore Leadership Academy,Pub,Kindergarten,17.00,17.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26147,MI
12-31-2023,Wayne,Wayne County,Shajara Tayyiba School,Plymouth Canton Schools,Priv,Kindergarten,6.00,6.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26163,MI
12-31-2023,Livingston,Livingston County,Light of the World Academy,Light of the World Academy,Pub,Kindergarten,30.00,25.00,83.30,0.00,0.00,5.00,16.70,0.00,0.00,4.00,13.30,1.00,3.30,26093,MI
12-31-2023,Wayne,Wayne County,River Rouge Stem Academy at Dunn,River Rouge School District,Pub,Kindergarten,27.00,25.00,92.60,1.00,0.00,1.00,3.70,0.00,0.00,0.00,0.00,1.00,3.70,26163,MI
12-31-2023,Oakland,Oakland County,Keys Grace Academy,Keys Grace Academy,Pub,Kindergarten,34.00,33.00,97.10,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26125,MI
12-31-2023,Monroe,Monroe County,Sodt Elementary School,Jefferson Schools (Monroe),Pub,Kindergarten,127.00,114.00,89.80,1.00,6.00,6.00,4.70,0.00,0.00,2.00,1.60,4.00,3.10,26115,MI
12-31-2023,Washtenaw,Washtenaw County,Livingston Classical Academy,Livingston Classical Cyber Academy,Pub,Kindergarten,16.00,11.00,68.80,0.00,1.00,4.00,25.00,0.00,0.00,3.00,18.80,1.00,6.30,26161,MI
12-31-2023,Wayne,Wayne County,Lakeshore Virtual School,Gibraltar School District,Pub,Kindergarten,13.00,7.00,53.80,0.00,1.00,5.00,38.50,0.00,0.00,1.00,7.70,4.00,30.80,26163,MI
12-31-2023,Oakland,Oakland County,Grayson Elementary KD,Waterford School District,Pub,Kindergarten,32.00,30.00,93.80,0.00,0.00,2.00,6.30,0.00,0.00,0.00,0.00,2.00,6.30,26125,MI
12-31-2023,Wayne,Wayne County,Great Revelations Academy,Dearborn City School District,Priv,Kindergarten,47.00,42.00,89.40,0.00,2.00,3.00,6.40,0.00,0.00,2.00,4.30,1.00,2.10,26163,MI
12-31-2023,Wayne,Wayne County,Inkster Preparatory Academy,Inkster Preparatory Academy,Pub,Kindergarten,26.00,23.00,88.50,1.00,1.00,1.00,3.80,0.00,0.00,0.00,0.00,1.00,3.80,26163,MI
12-31-2023,Oakland,Oakland County,Children's Ark KD,Clarkston Community School District,Priv,Kindergarten,15.00,12.00,80.00,0.00,1.00,2.00,13.30,0.00,0.00,2.00,13.30,0.00,0.00,26125,MI
12-31-2023,Washtenaw,Washtenaw County,Ypsilanti International Elementary School,Ypsilanti Community Schools,Pub,Kindergarten,73.00,70.00,95.90,0.00,0.00,3.00,4.10,0.00,0.00,3.00,4.10,0.00,0.00,26161,MI
12-31-2023,Oakland,Oakland County,William A Pearson Elementary School,South Lyon Community Schools,Pub,Kindergarten,80.00,77.00,96.30,0.00,0.00,3.00,3.80,0.00,0.00,1.00,1.30,2.00,2.50,26125,MI
12-31-2023,Wayne,Wayne County,Distinctive Creative Pathways - Harper Woods,Discovery Creative Pathways,Pub,Kindergarten,51.00,44.00,86.30,1.00,2.00,4.00,7.80,0.00,0.00,1.00,2.00,3.00,5.90,26163,MI
12-31-2023,Oakland,Oakland County,Farmington STEAM Academy,Farmington Public School District,Pub,Kindergarten,15.00,13.00,86.70,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26125,MI
12-31-2023,Macomb,Macomb County,Michigan Mathematics and Science Academy Dequindre,Michigan Math and Science Academy,Pub,Kindergarten,43.00,35.00,81.40,0.00,5.00,3.00,7.00,0.00,0.00,1.00,2.30,2.00,4.70,26099,MI
12-31-2023,Wayne,Wayne County,Tau Beta School,Hamtramck Public Schools,Pub,Kindergarten,27.00,25.00,92.60,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26163,MI
12-31-2023,Wayne,Wayne County,WISE Academy,Crestwood School District,Priv,Kindergarten,30.00,23.00,76.70,1.00,2.00,4.00,13.30,0.00,0.00,0.00,0.00,4.00,13.30,26163,MI
12-31-2023,Oakland,Oakland County,Waterford Montessori Academy - Elizabeth Lake Rd,Waterford Montessori Academy,Pub,Kindergarten,26.00,14.00,53.80,0.00,2.00,10.00,38.50,0.00,0.00,7.00,26.90,3.00,11.50,26125,MI
12-31-2023,Oakland,Oakland County,Lighthouse Connections Academy,Lighthouse Connections Academy,Pub,Kindergarten,115.00,84.00,73.00,1.00,9.00,21.00,18.30,4.00,3.50,10.00,8.70,7.00,6.10,26125,MI
12-31-2023,Wayne,Wayne County,Jackson Center Young Fives,Livonia Public Schools,Priv,Kindergarten,67.00,59.00,88.10,0.00,2.00,6.00,9.00,0.00,0.00,1.00,1.50,5.00,7.50,26163,MI
12-31-2023,Wayne,Wayne County,Distinctive Creative Pathways - Redford,Discovery Creative Pathways,Pub,Kindergarten,22.00,21.00,95.50,0.00,0.00,1.00,4.50,0.00,0.00,0.00,0.00,1.00,4.50,26163,MI
12-31-2023,Wayne,Wayne County,Roots Montessori,Plymouth Canton Schools,Priv,Kindergarten,11.00,10.00,90.90,0.00,0.00,1.00,9.10,0.00,0.00,1.00,9.10,0.00,0.00,26163,MI
12-31-2023,Wayne,Wayne County,Ivywood Classical Academy,Ivywood Classical Academy,Pub,Kindergarten,82.00,55.00,67.10,0.00,3.00,24.00,29.30,0.00,0.00,13.00,15.90,11.00,13.40,26163,MI
12-31-2023,Wayne,Wayne County,Westfield Charter Academy,Westfield Charter Academy,Pub,Kindergarten,109.00,95.00,87.20,2.00,3.00,9.00,8.30,0.00,0.00,5.00,4.60,4.00,3.70,26163,MI
12-31-2023,Macomb,Macomb County,Bozymowski Elementary at Wilde,Macomb ISD,Pub,Kindergarten,5.00,4.00,80.00,0.00,0.00,1.00,20.00,0.00,0.00,1.00,20.00,0.00,0.00,26099,MI
12-31-2023,Washtenaw,Washtenaw County,Dexter Early Elementary Complex,Dexter Community School District,Pub,Kindergarten,287.00,274.00,95.50,1.00,7.00,5.00,1.70,0.00,0.00,2.00,0.70,3.00,1.00,26161,MI
12-31-2023,Monroe,Monroe County,Henry Neidermeier Elementary School,Airport Community School District,Pub,Kindergarten,40.00,37.00,92.50,0.00,0.00,3.00,7.50,0.00,0.00,0.00,0.00,3.00,7.50,26115,MI
12-31-2023,Oakland,Oakland County,Madison District Early Childhood Education Center,Madison Public Schools (Oakland),Pub,Kindergarten,99.00,89.00,89.90,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26125,MI
12-31-2023,Macomb,Macomb County,Center Line Preparatory Academy,Center Line Preparatory Academy,Pub,Kindergarten,79.00,69.00,87.30,2.00,5.00,3.00,3.80,0.00,0.00,2.00,2.50,1.00,1.30,26099,MI
12-31-2023,Oakland,Oakland County,Troy Early Childhood Developmental Kindergarten,Troy School District,Pub,Kindergarten,89.00,75.00,84.30,0.00,0.00,14.00,15.70,0.00,0.00,4.00,4.50,10.00,11.20,26125,MI
12-31-2023,Wayne,Wayne County,Alice I Ferguson Early Childhood Center,Huron School District,Pub,Kindergarten,192.00,167.00,87.00,2.00,9.00,14.00,7.30,0.00,0.00,7.00,3.60,7.00,3.60,26163,MI
12-31-2023,Wayne,Wayne County,Star International Academy,Star International Academy,Pub,Kindergarten,47.00,44.00,93.60,0.00,1.00,2.00,4.30,0.00,0.00,1.00,2.10,1.00,2.10,26163,MI
12-31-2023,Macomb,Macomb County,New Dawn Academy of Warren,New Dawn Academy of Warren,Pub,Kindergarten,14.00,13.00,92.90,0.00,0.00,1.00,7.10,0.00,0.00,1.00,7.10,0.00,0.00,26099,MI
12-31-2023,Wayne,Wayne County,George Washington Carver Elementary School,George Washington Carver Academy District,Pub,Kindergarten,44.00,38.00,86.40,2.00,2.00,2.00,4.50,0.00,0.00,1.00,2.30,1.00,2.30,26163,MI
12-31-2023,Wayne,Wayne County,Adams-Young Building,Lincoln-King Adams-Young Academy,Pub,Kindergarten,69.00,62.00,89.90,1.00,2.00,4.00,5.80,0.00,0.00,3.00,4.30,1.00,1.40,26163,MI
12-31-2023,Wayne,Wayne County,Brenda Hague Early Learning Village,Ecorse Public School District,Pub,Kindergarten,78.00,67.00,85.90,2.00,3.00,6.00,7.70,0.00,0.00,3.00,3.80,3.00,3.80,26163,MI
12-31-2023,Wayne,Wayne County,Dearborn Public Schools Virtual K-12,Dearborn City School District,Pub,Kindergarten,12.00,12.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26163,MI
12-31-2023,Oakland,Oakland County,Lessenger Early Childhood Center,Oak Park City School District,Priv,Kindergarten,49.00,40.00,81.60,1.00,2.00,6.00,12.20,0.00,0.00,4.00,8.20,2.00,4.10,26125,MI
12-31-2023,Washtenaw,Washtenaw County,Pittsfield Acres Academy,Washtenaw ISD,Pub,Kindergarten,14.00,10.00,71.40,2.00,0.00,2.00,14.30,1.00,7.10,1.00,7.10,0.00,0.00,26161,MI
12-31-2023,Wayne,Wayne County,Hadi Educational Institute,Dearborn City School District,Priv,Kindergarten,11.00,8.00,72.70,0.00,0.00,3.00,27.30,0.00,0.00,3.00,27.30,0.00,0.00,26163,MI
12-31-2023,Monroe,Monroe County,Arborwood Elementary Campus-North Building,Monroe Public Schools,Pub,Kindergarten,26.00,21.00,80.80,0.00,1.00,4.00,15.40,0.00,0.00,2.00,7.70,2.00,7.70,26115,MI
12-31-2023,Washtenaw,Washtenaw County,Community Day Kindergarten,Ann Arbor Public Schools,Priv,Kindergarten,16.00,15.00,93.80,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26161,MI
12-31-2023,Washtenaw,Washtenaw County,St Andrew Catholic School,Saline Area Schools,Priv,Kindergarten,10.00,9.00,90.00,0.00,0.00,1.00,10.00,0.00,0.00,0.00,0.00,1.00,10.00,26161,MI
12-31-2023,Kalamazoo,Kalamazoo County,Kalamazoo Country Day,Portage Public Schools,Priv,Kindergarten,9.00,8.00,88.90,0.00,0.00,1.00,11.10,1.00,11.10,0.00,0.00,0.00,0.00,26077,MI
12-31-2023,Kalamazoo,Kalamazoo County,Montessori Children's Center,Kalamazoo Public School District,Priv,Kindergarten,18.00,18.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26077,MI
12-31-2023,Kent,Kent County,Harrison School,Grand Rapids Public Schools,Pub,Kindergarten,51.00,48.00,94.10,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26081,MI
12-31-2023,Kent,Kent County,Buchanan School,Grand Rapids Public Schools,Pub,Kindergarten,70.00,68.00,97.10,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26081,MI
12-31-2023,Kent,Kent County,Cesar E. Chavez Elementary,Grand Rapids Public Schools,Pub,Kindergarten,66.00,59.00,89.40,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26081,MI
12-31-2023,Kent,Kent County,Stocking School,Grand Rapids Public Schools,Pub,Kindergarten,26.00,24.00,92.30,0.00,1.00,1.00,3.80,0.00,0.00,0.00,0.00,1.00,3.80,26081,MI
12-31-2023,Kent,Kent County,Sibley Elementary,Grand Rapids Public Schools,Pub,Kindergarten,46.00,42.00,91.30,0.00,2.00,2.00,4.30,0.00,0.00,1.00,2.20,1.00,2.20,26081,MI
12-31-2023,Kent,Kent County,Martin Luther King Leadership Academy,Grand Rapids Public Schools,Pub,Kindergarten,47.00,38.00,80.90,2.00,1.00,6.00,12.80,0.00,0.00,6.00,12.80,0.00,0.00,26081,MI
12-31-2023,Kent,Kent County,Coit Creative Arts Academy,Grand Rapids Public Schools,Pub,Kindergarten,39.00,35.00,89.70,1.00,0.00,3.00,7.70,0.00,0.00,3.00,7.70,0.00,0.00,26081,MI
