time,geography,geography_name,school_name,n_total_audited,n_hep_a,n_hep_b,n_dtap,n_tdap,n_polio,n_mmr_k,n_varicella,n_men_6th,n_medical_exempt,n_religious_exempt
12-31-2024,46003,Aurora County,Plankinton Elementary,37.00,34.00,36.00,14.00,23.00,14.00,14.00,14.00,21.00,0.00,1.00
12-31-2018,46003,Aurora County,Spark Alternative,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46003,Aurora County,Spark Alternative,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2020,46003,Aurora County,Spark Alternative,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46003,Aurora County,Spark Alternative,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46003,Aurora County,Spark Alternative,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46003,Aurora County,Spark Alternative,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46003,Aurora County,Spark Alternative,6.00,6.00,6.00,0.00,6.00,0.00,0.00,0.00,6.00,0.00,0.00
12-31-2018,46003,Aurora County,Stickney Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46003,Aurora County,Stickney Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2020,46003,Aurora County,Stickney Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46003,Aurora County,Stickney Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46003,Aurora County,Stickney Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46003,Aurora County,Stickney Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46003,Aurora County,Stickney Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2018,46003,Aurora County,White Lake Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46003,Aurora County,White Lake Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2020,46003,Aurora County,White Lake Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46003,Aurora County,White Lake Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46003,Aurora County,White Lake Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46003,Aurora County,White Lake Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46003,Aurora County,White Lake Elementary,9.00,9.00,9.00,8.00,0.00,8.00,8.00,8.00,0.00,0.00,1.00
12-31-2018,46003,Aurora County,White Lake Middle School,14.00,12.00,14.00,7.00,7.00,7.00,7.00,7.00,7.00,0.00,0.00
12-31-2019,46003,Aurora County,White Lake Middle School,24.00,22.00,24.00,11.00,10.00,11.00,11.00,11.00,10.00,0.00,0.00
12-31-2020,46003,Aurora County,White Lake Middle School,18.00,18.00,18.00,10.00,8.00,10.00,10.00,10.00,8.00,0.00,0.00
12-31-2021,46003,Aurora County,White Lake Middle School,21.00,18.00,20.00,10.00,11.00,10.00,10.00,10.00,10.00,0.00,1.00
12-31-2022,46003,Aurora County,White Lake Middle School,18.00,17.00,18.00,10.00,8.00,10.00,10.00,10.00,8.00,0.00,0.00
12-31-2023,46003,Aurora County,White Lake Middle School,21.00,20.00,20.00,11.00,9.00,11.00,11.00,11.00,9.00,0.00,1.00
12-31-2024,46003,Aurora County,White Lake Middle School,6.00,6.00,6.00,0.00,6.00,0.00,0.00,0.00,6.00,0.00,0.00
12-31-2018,46005,Beadle County,Buchanan K Center,237.00,209.00,233.00,232.00,0.00,231.00,234.00,232.00,0.00,0.00,1.00
12-31-2019,46005,Beadle County,Buchanan K Center,224.00,214.00,220.00,212.00,0.00,213.00,215.00,214.00,0.00,0.00,3.00
12-31-2020,46005,Beadle County,Buchanan K Center,231.00,207.00,223.00,218.00,0.00,220.00,220.00,212.00,0.00,0.00,1.00
12-31-2021,46005,Beadle County,Buchanan K Center,212.00,202.00,209.00,201.00,0.00,202.00,202.00,198.00,0.00,0.00,1.00
12-31-2022,46005,Beadle County,Buchanan K Center,235.00,210.00,226.00,199.00,0.00,200.00,209.00,194.00,0.00,0.00,4.00
12-31-2023,46005,Beadle County,Buchanan K Center,216.00,197.00,208.00,194.00,0.00,193.00,197.00,194.00,0.00,1.00,4.00
12-31-2024,46005,Beadle County,Buchanan K Center,199.00,172.00,184.00,180.00,0.00,175.00,182.00,180.00,0.00,0.00,7.00
12-31-2018,46005,Beadle County,HitchcockTulare Elementary,31.00,24.00,31.00,12.00,19.00,12.00,12.00,12.00,19.00,0.00,0.00
12-31-2019,46005,Beadle County,HitchcockTulare Elementary,21.00,15.00,21.00,10.00,8.00,10.00,10.00,10.00,8.00,0.00,0.00
12-31-2020,46005,Beadle County,HitchcockTulare Elementary,31.00,21.00,31.00,14.00,14.00,14.00,14.00,14.00,14.00,0.00,0.00
12-31-2021,46005,Beadle County,HitchcockTulare Elementary,27.00,20.00,27.00,9.00,12.00,9.00,9.00,9.00,12.00,0.00,0.00
12-31-2022,46005,Beadle County,HitchcockTulare Elementary,29.00,27.00,29.00,17.00,10.00,17.00,19.00,19.00,9.00,0.00,0.00
12-31-2023,46005,Beadle County,HitchcockTulare Elementary,31.00,27.00,31.00,17.00,7.00,17.00,17.00,17.00,7.00,0.00,0.00
12-31-2024,46005,Beadle County,HitchcockTulare Elementary,19.00,15.00,17.00,9.00,5.00,9.00,8.00,8.00,5.00,0.00,0.00
12-31-2018,46005,Beadle County,Holy Trinity Catholic Elementary,27.00,24.00,27.00,19.00,8.00,19.00,19.00,19.00,8.00,0.00,0.00
12-31-2019,46005,Beadle County,Holy Trinity Catholic Elementary,13.00,13.00,13.00,13.00,0.00,13.00,13.00,13.00,0.00,0.00,0.00
12-31-2020,46005,Beadle County,Holy Trinity Catholic Elementary,13.00,13.00,13.00,13.00,0.00,13.00,13.00,13.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,Holy Trinity Catholic Elementary,18.00,16.00,18.00,18.00,0.00,18.00,18.00,17.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,Holy Trinity Catholic Elementary,16.00,14.00,16.00,15.00,0.00,15.00,15.00,15.00,0.00,0.00,0.00
12-31-2023,46005,Beadle County,Holy Trinity Catholic Elementary,25.00,23.00,24.00,24.00,0.00,24.00,24.00,24.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,Holy Trinity Catholic Elementary,13.00,8.00,12.00,9.00,0.00,9.00,11.00,10.00,0.00,0.00,0.00
12-31-2018,46005,Beadle County,Huron Colony Elementary,4.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,3.00,0.00,0.00
12-31-2019,46005,Beadle County,Huron Colony Elementary,5.00,5.00,5.00,1.00,4.00,1.00,1.00,1.00,4.00,0.00,0.00
12-31-2020,46005,Beadle County,Huron Colony Elementary,7.00,6.00,7.00,6.00,0.00,6.00,6.00,6.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,Huron Colony Elementary,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,0.00,0.00
12-31-2022,46005,Beadle County,Huron Colony Elementary,3.00,2.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00
12-31-2023,46005,Beadle County,Huron Colony Elementary,4.00,2.00,4.00,2.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,Huron Colony Elementary,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
12-31-2018,46005,Beadle County,Huron Middle School,189.00,175.00,188.00,0.00,189.00,0.00,0.00,0.00,188.00,0.00,0.00
12-31-2019,46005,Beadle County,Huron Middle School,183.00,168.00,180.00,0.00,175.00,0.00,0.00,0.00,173.00,0.00,0.00
12-31-2020,46005,Beadle County,Huron Middle School,220.00,196.00,215.00,0.00,173.00,0.00,0.00,0.00,180.00,0.00,2.00
12-31-2021,46005,Beadle County,Huron Middle School,206.00,192.00,203.00,0.00,174.00,0.00,0.00,0.00,175.00,0.00,1.00
12-31-2022,46005,Beadle County,Huron Middle School,253.00,233.00,245.00,0.00,205.00,0.00,0.00,0.00,207.00,0.00,0.00
12-31-2023,46005,Beadle County,Huron Middle School,242.00,223.00,237.00,0.00,218.00,0.00,0.00,0.00,215.00,0.00,1.00
12-31-2024,46005,Beadle County,Huron Middle School,234.00,222.00,227.00,0.00,193.00,0.00,0.00,0.00,187.00,1.00,4.00
12-31-2018,46005,Beadle County,Iroquois Elementary,15.00,13.00,15.00,13.00,0.00,13.00,13.00,13.00,0.00,0.00,0.00
12-31-2019,46005,Beadle County,Iroquois Elementary,16.00,15.00,15.00,15.00,0.00,15.00,15.00,15.00,0.00,0.00,0.00
12-31-2020,46005,Beadle County,Iroquois Elementary,11.00,10.00,11.00,10.00,0.00,11.00,11.00,11.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,Iroquois Elementary,16.00,14.00,15.00,12.00,0.00,11.00,12.00,12.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,Iroquois Elementary,27.00,25.00,25.00,22.00,0.00,22.00,22.00,22.00,0.00,0.00,0.00
12-31-2023,46005,Beadle County,Iroquois Elementary,21.00,19.00,19.00,15.00,0.00,15.00,15.00,15.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,Iroquois Elementary,18.00,11.00,15.00,8.00,0.00,8.00,7.00,6.00,0.00,0.00,1.00
12-31-2018,46005,Beadle County,James Valley Christian Elementary,34.00,26.00,32.00,16.00,13.00,16.00,16.00,16.00,13.00,0.00,2.00
12-31-2019,46005,Beadle County,James Valley Christian Elementary,41.00,36.00,39.00,21.00,18.00,21.00,21.00,21.00,17.00,0.00,1.00
12-31-2020,46005,Beadle County,James Valley Christian Elementary,31.00,25.00,30.00,14.00,14.00,14.00,14.00,13.00,14.00,0.00,1.00
12-31-2021,46005,Beadle County,James Valley Christian Elementary,36.00,30.00,34.00,17.00,17.00,17.00,17.00,16.00,17.00,0.00,2.00
12-31-2022,46005,Beadle County,James Valley Christian Elementary,31.00,20.00,24.00,13.00,11.00,13.00,13.00,13.00,11.00,0.00,7.00
12-31-2023,46005,Beadle County,James Valley Christian Elementary,28.00,20.00,21.00,12.00,10.00,12.00,12.00,12.00,10.00,0.00,6.00
12-31-2024,46005,Beadle County,James Valley Christian Elementary,33.00,19.00,20.00,10.00,11.00,10.00,10.00,10.00,10.00,0.00,10.00
12-31-2018,46005,Beadle County,JDC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46005,Beadle County,JDC,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
12-31-2020,46005,Beadle County,JDC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,JDC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,JDC,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46005,Beadle County,JDC,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,JDC,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2018,46005,Beadle County,Our Home ASAP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46005,Beadle County,Our Home ASAP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2020,46005,Beadle County,Our Home ASAP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,Our Home ASAP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,Our Home ASAP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46005,Beadle County,Our Home ASAP,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
12-31-2024,46005,Beadle County,Our Home ASAP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2018,46005,Beadle County,Our Home Rediscovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46005,Beadle County,Our Home Rediscovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2020,46005,Beadle County,Our Home Rediscovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,Our Home Rediscovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,Our Home Rediscovery,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
12-31-2023,46005,Beadle County,Our Home Rediscovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,Our Home Rediscovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2018,46005,Beadle County,Pearl Creek Colony Elementary,3.00,2.00,3.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00
12-31-2019,46005,Beadle County,Pearl Creek Colony Elementary,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
12-31-2020,46005,Beadle County,Pearl Creek Colony Elementary,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,Pearl Creek Colony Elementary,3.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,Pearl Creek Colony Elementary,5.00,2.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00
12-31-2023,46005,Beadle County,Pearl Creek Colony Elementary,5.00,2.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,Pearl Creek Colony Elementary,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2018,46005,Beadle County,Riverside Colony Elementary,5.00,3.00,5.00,1.00,4.00,1.00,1.00,1.00,3.00,0.00,0.00
12-31-2019,46005,Beadle County,Riverside Colony Elementary,2.00,2.00,2.00,2.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00
12-31-2020,46005,Beadle County,Riverside Colony Elementary,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00
12-31-2021,46005,Beadle County,Riverside Colony Elementary,4.00,4.00,4.00,3.00,0.00,3.00,3.00,3.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,Riverside Colony Elementary,4.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00
12-31-2023,46005,Beadle County,Riverside Colony Elementary,4.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,Riverside Colony Elementary,3.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
12-31-2018,46005,Beadle County,Sunny Plains Christian,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46005,Beadle County,Sunny Plains Christian,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2020,46005,Beadle County,Sunny Plains Christian,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,Sunny Plains Christian,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,Sunny Plains Christian,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46005,Beadle County,Sunny Plains Christian,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,Sunny Plains Christian,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2018,46005,Beadle County,WolseyWessington Elementary,31.00,30.00,31.00,31.00,0.00,30.00,30.00,30.00,0.00,0.00,1.00
12-31-2019,46005,Beadle County,WolseyWessington Elementary,27.00,21.00,27.00,25.00,0.00,25.00,24.00,24.00,0.00,0.00,0.00
12-31-2020,46005,Beadle County,WolseyWessington Elementary,30.00,25.00,30.00,26.00,0.00,26.00,25.00,26.00,0.00,0.00,0.00
12-31-2021,46005,Beadle County,WolseyWessington Elementary,25.00,23.00,25.00,25.00,0.00,25.00,25.00,25.00,0.00,0.00,0.00
12-31-2022,46005,Beadle County,WolseyWessington Elementary,19.00,17.00,17.00,17.00,0.00,17.00,17.00,17.00,0.00,1.00,1.00
12-31-2023,46005,Beadle County,WolseyWessington Elementary,20.00,19.00,20.00,20.00,0.00,20.00,20.00,20.00,0.00,0.00,0.00
12-31-2024,46005,Beadle County,WolseyWessington Elementary,21.00,21.00,21.00,21.00,0.00,21.00,21.00,21.00,0.00,0.00,0.00
12-31-2018,46005,Beadle County,WolseyWessington Middle School,29.00,27.00,29.00,0.00,29.00,0.00,0.00,0.00,29.00,0.00,0.00
12-31-2019,46005,Beadle County,WolseyWessington Middle School,32.00,31.00,32.00,0.00,24.00,0.00,0.00,0.00,24.00,0.00,0.00
12-31-2020,46005,Beadle County,WolseyWessington Middle School,24.00,22.00,23.00,0.00,15.00,0.00,0.00,0.00,15.00,0.00,0.00
12-31-2021,46005,Beadle County,WolseyWessington Middle School,28.00,26.00,28.00,0.00,26.00,0.00,0.00,0.00,26.00,0.00,0.00
12-31-2022,46005,Beadle County,WolseyWessington Middle School,19.00,16.00,18.00,0.00,19.00,0.00,0.00,0.00,19.00,0.00,0.00
12-31-2023,46005,Beadle County,WolseyWessington Middle School,32.00,26.00,32.00,0.00,32.00,0.00,0.00,0.00,32.00,0.00,0.00
12-31-2024,46005,Beadle County,WolseyWessington Middle School,25.00,23.00,25.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00
12-31-2018,46007,Bennett County,American Horse Elementary,75.00,69.00,75.00,55.00,19.00,55.00,55.00,53.00,19.00,0.00,0.00
12-31-2019,46007,Bennett County,American Horse Elementary,88.00,86.00,88.00,55.00,32.00,56.00,56.00,56.00,32.00,0.00,0.00
12-31-2020,46007,Bennett County,American Horse Elementary,47.00,47.00,47.00,22.00,25.00,22.00,22.00,22.00,25.00,0.00,0.00
12-31-2021,46007,Bennett County,American Horse Elementary,45.00,43.00,44.00,16.00,21.00,16.00,16.00,16.00,21.00,0.00,0.00
12-31-2022,46007,Bennett County,American Horse Elementary,32.00,31.00,32.00,16.00,13.00,16.00,16.00,11.00,13.00,0.00,0.00
12-31-2023,46007,Bennett County,American Horse Elementary,44.00,41.00,44.00,19.00,17.00,19.00,19.00,19.00,17.00,0.00,0.00
12-31-2024,46007,Bennett County,American Horse Elementary,52.00,51.00,50.00,19.00,21.00,19.00,18.00,18.00,20.00,0.00,0.00
12-31-2018,46007,Bennett County,Batesland School,33.00,32.00,33.00,13.00,20.00,13.00,13.00,13.00,20.00,0.00,0.00
12-31-2019,46007,Bennett County,Batesland School,36.00,35.00,36.00,17.00,19.00,17.00,17.00,17.00,19.00,0.00,0.00
12-31-2020,46007,Bennett County,Batesland School,33.00,31.00,33.00,12.00,21.00,12.00,12.00,12.00,21.00,0.00,0.00
12-31-2021,46007,Bennett County,Batesland School,41.00,39.00,41.00,15.00,20.00,15.00,15.00,15.00,18.00,0.00,0.00
12-31-2022,46007,Bennett County,Batesland School,24.00,24.00,24.00,5.00,13.00,5.00,5.00,5.00,13.00,0.00,0.00
12-31-2023,46007,Bennett County,Batesland School,33.00,29.00,33.00,17.00,15.00,17.00,17.00,17.00,15.00,0.00,1.00
12-31-2024,46007,Bennett County,Batesland School,45.00,37.00,43.00,8.00,12.00,8.00,8.00,8.00,10.00,0.00,0.00
12-31-2018,46007,Bennett County,Bennett Co Elementary,41.00,40.00,41.00,41.00,0.00,41.00,41.00,41.00,0.00,0.00,0.00
12-31-2019,46007,Bennett County,Bennett Co Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2020,46007,Bennett County,Bennett Co Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46007,Bennett County,Bennett Co Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46007,Bennett County,Bennett Co Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46007,Bennett County,Bennett Co Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46007,Bennett County,Bennett Co Elementary,28.00,28.00,28.00,28.00,0.00,28.00,28.00,28.00,0.00,0.00,0.00
12-31-2018,46007,Bennett County,Bennett County Middle School (Martin),NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46007,Bennett County,Bennett County Middle School (Martin),28.00,25.00,28.00,0.00,28.00,0.00,0.00,0.00,28.00,0.00,0.00
12-31-2020,46007,Bennett County,Bennett County Middle School (Martin),36.00,36.00,36.00,0.00,36.00,0.00,0.00,0.00,36.00,0.00,0.00
12-31-2021,46007,Bennett County,Bennett County Middle School (Martin),37.00,37.00,37.00,0.00,37.00,0.00,0.00,0.00,37.00,0.00,0.00
12-31-2022,46007,Bennett County,Bennett County Middle School (Martin),41.00,41.00,41.00,0.00,41.00,0.00,0.00,0.00,41.00,0.00,0.00
12-31-2023,46007,Bennett County,Bennett County Middle School (Martin),41.00,41.00,41.00,0.00,41.00,0.00,0.00,0.00,41.00,0.00,0.00
12-31-2024,46007,Bennett County,Bennett County Middle School (Martin),38.00,38.00,38.00,0.00,33.00,0.00,0.00,0.00,32.00,0.00,0.00
12-31-2018,46007,Bennett County,Martin Elementary,26.00,26.00,26.00,0.00,26.00,0.00,0.00,0.00,26.00,0.00,0.00
12-31-2019,46007,Bennett County,Martin Elementary,30.00,29.00,30.00,30.00,0.00,30.00,30.00,30.00,0.00,0.00,0.00
12-31-2020,46007,Bennett County,Martin Elementary,40.00,40.00,40.00,40.00,0.00,40.00,40.00,38.00,0.00,0.00,0.00
12-31-2021,46007,Bennett County,Martin Elementary,36.00,36.00,36.00,36.00,0.00,36.00,36.00,36.00,0.00,0.00,0.00
12-31-2022,46007,Bennett County,Martin Elementary,36.00,35.00,36.00,36.00,0.00,36.00,36.00,36.00,0.00,0.00,0.00
12-31-2023,46007,Bennett County,Martin Elementary,43.00,42.00,42.00,42.00,0.00,42.00,42.00,42.00,0.00,0.00,1.00
12-31-2024,46007,Bennett County,Martin Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2018,46009,Bon Homme County,Avon Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2019,46009,Bon Homme County,Avon Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2020,46009,Bon Homme County,Avon Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2021,46009,Bon Homme County,Avon Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2022,46009,Bon Homme County,Avon Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2023,46009,Bon Homme County,Avon Elementary,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12-31-2024,46009,Bon Homme County,Avon Elementary,10.00,8.00,9.00,9.00,0.00,9.00,9.00,9.00,0.00,0.00,1.00
