"school_name","school_type","address","city","zipcode","planning_region","ex_rel","ex_med","ex_tot"
"Hopewell School","Public","1068 Chestnut Hill Rd.","Glastonbury","06073","Capitol","0.2","0.2","0.5"
"Naubuc School","Public","84 Griswold St.","Glastonbury","06033","Capitol","0.7","0.5","1.2"
"Nayaug Elementary School","Public","222 Old Maids Ln.","Glastonbury","06073","Capitol","0.9","0.5","1.4"
"Smith Middle School","Public","216 Addison Rd.","Glastonbury","06033","Capitol","1.7","0.1","1.8"
"Goshen Center School","Public","50 North Street","Goshen","06756","Northwest Hills","0.0","0.8","0.8"
"Granby Memorial High School","Public","54 North Granby Road","Granby","06035","Capitol","1.9","0.2","2.1"
"Granby Memorial Middle School","Public","321 Salmon Brook St.","Granby","06035","Capitol","1.3","0.5","1.8"
"Kelly Lane Primary School","Public","60 Kelly Ln.","Granby","06035","Capitol","0.0","0.3","0.3"
"Wells Road Intermediate School","Public","134 Wells Rd.","Granby","06035","Capitol","2.1","0.8","2.9"
"Brunswick School","Non-public","100 Maher Avenue","Greenwich","06830","Western CT","DNC","DNC","DNC"
"Central Middle School","Public","9 Indian Rock Ln.","Greenwich","06830","Western CT","3.2","0.2","3.4"
"Cos Cob School","Public","300 East Putnam Ave.","Greenwich","06807","Western CT","0.0","0.0","0.0"
"Eagle Hill School","Non-public","45 Glenville Road","Greenwich","06831","Western CT","0.5","1.0","1.5"
"Eastern Middle School","Public","51 Hendrie Ave.","Greenwich","06878","Western CT","1.3","0.0","1.3"
"Glenville School","Public","33 Riversville Rd.","Greenwich","06831","Western CT","1.1","0.7","1.8"
"Greenwich Academy","Public","200 North Maple Avenue","Greenwich","06830","Western CT","0.5","0.0","0.5"
"Greenwich Catholic","Non-public","471 North Street","Greenwich","06830","Western CT","2.6","2.9","5.6"
"Greenwich Country Day","Non-public","401 Old Church Road","Greenwich","06830","Western CT","0.4","0.4","0.8"
"Greenwich High School","Public","10 Hillside Rd.","Greenwich","06830","Western CT","1.6","0.2","1.8"
"Hamilton Avenue School","Public","184 Hamilton Avenue","Greenwich","06830","Western CT","0.0","0.4","0.4"
"International School At Dundee","Public","55 Florence Rd.","Greenwich","06878","Western CT","0.0","0.0","0.0"
"Julian Curtiss School","Public","180 East Elm St.","Greenwich","06830","Western CT","0.0","0.4","0.4"
"New Lebanon School","Public","25 Mead Ave.","Greenwich","06830","Western CT","1.4","0.0","1.4"
"North Mianus School","Public","309 Palmer Hill Rd.","Greenwich","06878","Western CT","1.2","0.2","1.5"
"North Street School","Public","381 North St.","Greenwich","06830","Western CT","1.4","0.2","1.6"
"Old Greenwich School","Public","825 Sound Beach Ave.","Greenwich","06870","Western CT","0.3","0.0","0.3"
"Parkway School","Public","141 Lower Cross Rd.","Greenwich","06831","Western CT","0.4","0.0","0.4"
"Riverside School","Public","90 Hendrie Ave.","Greenwich","06878","Western CT","0.0","0.0","0.0"
"Sacred Heart Greenwich","Non-public","1177 King Street","Greenwich","06831","Western CT","1.1","0.5","1.6"
"The Greenwich Japanese School","Non-public","6 Riverside,","Greenwich","06878","Western CT","0.0","0.0","0.0"
"Western Middle School","Public","1 Western Junior Hwy.","Greenwich","06830","Western CT","1.9","0.6","2.4"
"Whitby School","Non-public","969 Lake Avenue","Greenwich","06831","Western CT","1.2","1.6","2.9"
"Griswold Elementary School","Public","303 Slater Ave.","Griswold","06351","Southeastern CT","0.5","0.5","0.9"
"Griswold High School","Public","267 Slater Ave.","Griswold","06351","Southeastern CT","1.7","0.2","1.8"
"Griswold Middle School","Public","211 Slater Ave.","Griswold","06351","Southeastern CT","4.7","0.2","4.9"
"Griswold Soule Street Academy","Public","22 Soule Street","Griswold","06351","Southeastern CT","DS","DS","DS"
"Catherine Kolnaski Magnet School","Public","500 Poquonnock Rd.","Groton","06340","Southeastern CT","0.9","0.9","1.7"
"Charles Barnum Magnet School","Public","68 Briar Hill Rd.","Groton","06340","Southeastern CT","0.0","0.3","0.3"
"Ella T. Grasso Technical High School","Public","189 Fort Hill Rd.","Groton","06340","Southeastern CT","0.6","0.3","0.9"
"Grace Valley Academy","Non-public","20 Grove Ave","Groton","06340","Southeastern CT","DNC","DNC","DNC"
"Groton Middle School","Public","35 Groton Long Point Road","Groton","06340","Southeastern CT","0.1","0.1","0.2"
"Marine Science Magnet High School","Non-public","130 Shennecossett Road","Groton","06340","Southeastern CT","1.4","0.0","1.4"
"Mystic River Magnet School","Public","160 Fishtown Rd","Groton","06355","Southeastern CT","1.2","0.2","1.4"
"Northeast Academy Arts Magnet School","Public","115 oslo st","Groton","06355","Southeastern CT","0.0","0.0","0.0"
"Robert E. Fitch High School","Public","101 Groton Long Point Road","Groton","06340","Southeastern CT","0.5","0.0","0.5"
"Sacred Heart School-Groton","Non-public","50 Sacred Heart Drive","Groton","06340","Southeastern CT","0.6","0.0","0.6"
"Thames River Magnet School","Public","250 Brandegee Avenue","Groton","06340","Southeastern CT","0.0","0.0","0.0"
"A. Baldwin Middle School","Public","68 Bullard Dr.","Guilford","06437","South Central","1.4","0.0","1.4"
"A. W. Cox School","Public","143 Three Mile Course","Guilford","06437","South Central","0.0","0.4","0.4"
"Calvin Leete School","Public","280 South Union St.","Guilford","06437","South Central","0.0","0.0","0.0"
"E. C. Adams Middle School","Public","233 Church St.","Guilford","06437","South Central","1.2","0.2","1.5"
"Guilford High School","Public","605 New England Rd.","Guilford","06437","South Central","2.3","0.5","2.9"
"Guilford Lakes School","Public","40 Maupas Rd.","Guilford","06437","South Central","0.6","0.0","0.6"
"Melissa Jones School","Public","181 Ledge Hill Rd.","Guilford","06437","South Central","0.0","0.0","0.0"
"Burr District Elementary School","Public","792 Killingworth Road","Haddam","06441","Lower CT River Valley","1.1","0.0","1.1"
"Haddam-Killingworth High School","Public","95 Little City Road","Haddam","06441","Lower CT River Valley","1.9","0.0","1.9"
"Aces Wintergreen Interdistrict Magnet School","Public","670 wintergreen ave","Hamden","06514","South Central","0.4","0.0","0.4"
"Alice Peck Learning Center","Non-public","35 Hillfield Road","Hamden","06518","South Central","0.0","0.0","0.0"
"Bear Path School","Public","10 Kirk Rd.","Hamden","06514","South Central","0.0","0.0","0.0"
"Cedarhurst School","Non-public","871 Prospect Street","Hamden","06517","South Central","DNC","DNC","DNC"
"Church Street School","Public","95 Church St.","Hamden","06514","South Central","0.0","0.0","0.0"
"Dunbar Hill School","Public","315 Lane St.","Hamden","06514","South Central","0.4","0.4","0.7"
"Eli Whitney Technical High School","Public","100 Fairview Ave","Hamden","06514","South Central","DNC","DNC","DNC"
"Hamden Hall School","Non-public","1108 Whitney Avenue","Hamden","06517","South Central","1.3","0.1","1.4"
"Hamden High School","Public","2040 Dixwell Ave.","Hamden","06514","South Central","0.6","0.1","0.6"
"Hamden Middle School","Public","2623 Dixwell Ave.","Hamden","06518","South Central","2.1","0.0","2.1"
"Helen Street School","Public","285 Helen St.","Hamden","06514","South Central","0.0","0.0","0.0"
"Laurel Oaks Adventist School","Non-public","14 West Shepard Avenue","Hamden","06514","South Central","0.0","3.0","3.0"
"Ridge Hill School","Public","120 Carew Rd.","Hamden","06517","South Central","0.0","0.3","0.3"
"Sacred Heart Academy-Hamden","Non-public","265 Benham Street","Hamden","06514","South Central","4.9","0.0","4.9"
"Shepherd Glen School","Public","1 Skiff St. Ext.","Hamden","06514","South Central","0.0","0.0","0.0"
"Spring Glen School","Public","1908 Whitney Ave.","Hamden","06517","South Central","1.4","0.0","1.4"
"St. Rita School","Non-public","1601 Whitney Avenue","Hamden","06517","South Central","0.9","0.0","0.9"
"The Bridge at ACES","Non-public","261 Skiff Street","Hamden","06517","South Central","DS","DS","DS"
"West Woods School","Non-public","350 West Todd St.","Hamden","06518","South Central","0.8","0.0","0.8"
"Whitney High School North","Non-public","130-B Leeder Hill Drive","Hamden","06517","South Central","0.0","0.0","0.0"
"Bridges Community School","Non-public","376 Hartford Turnpike","Hampton","06247","Northeast CT","DS","DS","DS"
"Hampton Elementary School","Public","380 Main St.","Hampton","06247","Northeast CT","1.4","0.0","1.4"
"Quinebaug Middle College","Non-public","742 Upper Maple St.","Hampton","06239","Northeast CT","4.5","0.0","4.5"
"A. I. Prince Technical High School","Public","401 Flatbush Ave.","Hartford","06106","Capitol","0.4","0.0","0.4"
"Achievement First Hartford Academy","Public","305 Greenfield Street","Hartford","06112","Capitol","DNC","DNC","DNC"
"Betances Learning Lab Magnet School","Public","42 Charter Oak Avenue","Hartford","06106","Capitol","0.0","0.0","0.0"
"Betances STEM Magnet School","Public","400 Wethersfield Avenue","Hartford","06114","Capitol","0.0","0.0","0.0"
"Breakthrough Magnet School, South","Public","290 Brookfield Street","Hartford","06106","Capitol","0.0","0.0","0.0"
"Bulkeley High School","Public","395 Lyme Street","Hartford","06112","Capitol","0.2","0.0","0.2"
"Burns Latino Studies Academy","Public","195 Putnam Street","Hartford","06106","Capitol","0.0","0.0","0.0"
"Burr Middle School","Public","400 Wethersfield Avenue","Hartford","06114","Capitol","0.0","0.0","0.0"
"Capital Preparatory Magnet School","Public","1304 Main Street","Hartford","06103","Capitol","DNC","DNC","DNC"
"Classical Magnet School","Public","85 Woodland Street","Hartford","06105","Capitol","0.2","1.3","1.6"
"Community First School Inc.","Non-public","50 Love Lane","Hartford","06112","Capitol","3.2","0.0","3.2"
"Covenant Preparatory School","Non-public","474 Woodland St","Hartford","06112","Capitol","7.3","0.0","7.3"
"Dwight-Bellizzi Dual Language Academy","Public","215 South Street","Hartford","06114","Capitol","0.0","0.0","0.0"
"Eagle House Education Program","Non-public","1680 Albany Avenue","Hartford","06105","Capitol","DS","DS","DS"
"Environmental Sciences Magnet at Hooker School","Public","440 Broadview Terrace","Hartford","06106","Capitol","0.0","0.0","0.0"
"Expeditionary Learning Academy at Moylan School","Public","101 Catherine Street","Hartford","06106","Capitol","0.0","0.3","0.3"
"Global Communications Academy","Public","85 Edwards Street","Hartford","06112","Capitol","DNC","DNC","DNC"
"Grace Academy","Non-public","457 Main Street","Hartford","06103","Capitol","0.0","0.0","0.0"
"Grace S. Webb School","Non-public","200 Retreat Avenue","Hartford","06106","Capitol","1.6","0.0","1.6"
"Greater Hartford Academy of the Arts High School - Full Day","Non-public","160-170 Huyshope Ave","Hartford","06105","Capitol","DNC","DNC","DNC"
"Hartford Magnet Trinity College Academy","Public","53 Vernon Street","Hartford","06103","Capitol","0.4","0.1","0.6"
"Hartford PreKindergarten Magnet School: North Campus","Public","85 Edwards Street","Hartford","06112","Capitol","0.0","0.0","0.0"
"Hartford Public High School","Public","55 Forest Street","Hartford","06105","Capitol","0.0","0.3","0.3"
"High Road School of Hartford High","Non-public","245 Locust Street","Hartford","06114","Capitol","2.7","0.0","2.7"
"High Road School of Hartford-Primary","Non-public","757 New Britain Ave","Hartford","06106","Capitol","DS","DS","DS"
"Jumoke Academy","Public","999 Asylum Ave. Suite 200","Hartford","06105","Capitol","DNC","DNC","DNC"
"Kennelly School","Public","180 White Street","Hartford","06114","Capitol","0.2","0.0","0.2"
"Kinsella Magnet School of Performing Arts: High School Campus","Public","415 Granby Street","Hartford","06112","Capitol","0.0","0.0","0.0"
"Kinsella Magnet School of Performing Arts: PK-8 Campus","Public","65 Van Block Avenue","Hartford","06106","Capitol","0.3","0.0","0.3"
"M. D. Fox School","Public","470 Maple Avenue","Hartford","06114","Capitol","0.0","0.4","0.4"
"M. L. King, Jr. Middle School","Public","25 Ridgefield Street","Hartford","06112","Capitol","0.5","0.0","0.5"
"Maria C. Colon Sanchez Elementary School Sbhc","Public","176 Babcock Street","Hartford","06106","Capitol","DNC","DNC","DNC"
"McDonough Middle School","Public","111 Hillside Avenue","Hartford","06106","Capitol","DNC","DNC","DNC"
"Milner Middle School","Public","150 Tower Avenue","Hartford","06112","Capitol","0.4","0.0","0.4"
"Montessori Magnet at Batchelder School","Public","757 New Britain Avenue","Hartford","06106","Capitol","0.3","0.3","0.6"
"Montessori Magnet at Fisher School","Public","280 Plainfield Street","Hartford","06112","Capitol","1.4","0.0","1.4"
"Montessori Magnet School","Non-public","1460 Broad St.","Hartford","06106","Capitol","DNC","DNC","DNC"
"Mount Olive Children Development Center, Inc.","Public","30 Battles St","Hartford","06120","Capitol","0.0","0.0","0.0"
"Naylor","Public","639 Franklin Avenue","Hartford","06114","Capitol","0.0","1.1","1.1"
"Northeastern Adventist Academy - Hartford Campus/Covenant Prepatory School","Non-public","474 Woodland Street","Hartford","06112","Capitol","1.3","0.0","1.3"
"Oak Hill School at Hartford","Non-public","120 Holcomb Street","Hartford","06112","Capitol","5.8","0.7","6.5"
"Opportunity Academy-Hartford","Non-public","20-28 Sargeant Street","Hartford","06105","Capitol","DNC","DNC","DNC"
"Options Educational Services","Non-public","606 Farmington Avenue","Hartford","06105","Capitol","DNC","DNC","DNC"
"Parkville Community School","Public","47 New Park Avenue","Hartford","06106","Capitol","0.0","0.0","0.0"
"Rawson School","Public","260 Holcomb Street","Hartford","06112","Capitol","0.0","0.0","0.0"
"Renzulli Academy","Non-public","121 Cornwall St","Hartford","06112","Capitol","1.6","1.6","3.2"
"SAND School","Public","1750 Main Street","Hartford","06120","Capitol","0.0","0.0","0.0"
"Sport and Medical Sciences Academy","Public","280 Huyshope Avenue","Hartford","06106","Capitol","0.7","0.0","0.7"
"STEM magnet at Annie Fisher","Public","280 Plainfield St","Hartford","06112","Capitol","0.3","0.3","0.6"
"Trinity Academy Hartford","Non-public","10 Woodland Street","Hartford","06105","Capitol","0.0","0.0","0.0"
"University High School of Science and Engineering","Public","351 Mark Twain Drive","Hartford","06112","Capitol","1.0","0.0","1.0"
"Watkinson School","Non-public","180 Bloomfield Avenue","Hartford","06105","Capitol","2.9","0.0","2.9"
"Weaver High School","Public","415 Granby St.","Hartford","06112","Capitol","0.2","0.0","0.2"
"Webster Micro Society Magnet School","Public","5 Cone Street","Hartford","06105","Capitol","0.6","0.2","0.8"
"West Middle School","Public","44 Niles Street","Hartford","06112","Capitol","0.4","0.0","0.4"
"Wish Museum School","Public","104 Vine Street","Hartford","06112","Capitol","0.0","0.0","0.0"
"Hartland School","Public","30 South Rd.","Hartland","06027","Northwest Hills","1.8","0.0","1.8"
"Gilead Hill School","Public","580 Gilead St.","Hebron","06248","Capitol","0.0","1.0","1.0"
"Hebron Elementary School","Public","92 Church St.","Hebron","06248","Capitol","2.1","0.3","2.4"
"RHAM High School","Public","85 Wall Street","Hebron","06248","Capitol","4.1","0.4","4.6"
"RHAM Middle School","Public","25 Rham Road","Hebron","06248","Capitol","4.9","0.0","4.9"
"Kent Center School","Public","9 Judd Street","Kent","06757","Northwest Hills","1.1","0.0","1.1"
"Kent School","Non-public","1 Macedonia Rd","Kent","06757","Northwest Hills","0.6","0.6","1.2"
"South Kent School","Non-public","40 Bull's Bridge","Kent","06785","Northwest Hills","0.0","0.0","0.0"
"The Marvelwood School","Non-public","476 Skiff Mountain Road","Kent","06757","Northwest Hills","0.0","0.0","0.0"
"Goodyear Early Childhood Center","Non-public","22 Williamsville Rd.","Killingly","06263","Northeast CT","0.0","2.5","2.5"
"H. H. Ellis Technical High School","Public","613 Upper Maple St.","Killingly","06239","Northeast CT","1.5","0.0","1.5"
"High Road School Hartford High at Windham County","Public","95 Wescott St.","Killingly","06239","Northeast CT","DS","DS","DS"
"High Road School Hartford Primary at Windham County","Non-public","95 Westcott Road","Killingly","06239","Northeast CT","DNC","DNC","DNC"
"Killingly Central School","Public","60 Soap St.","Killingly","06241","Northeast CT","0.0","0.0","0.0"
"Killingly High School","Public","226 Putman Pike","Killingly","06241","Northeast CT","1.7","0.1","1.8"
"Killingly Intermediate School","Public","1599 Upper Maple St.","Killingly","06241","Northeast CT","3.9","0.7","4.6"
"Killingly Memorial School","Public","339 Main St.","Killingly","06239","Northeast CT","0.9","0.0","0.9"
"Natchaug Hospital School Joshua Center NE-Danielson","Non-public","934 North Main Street","Killingly","06239","Northeast CT","DS","DS","DS"
"St. James School-Danielson","Non-public","120 Water Street","Killingly","06239","Northeast CT","4.5","2.0","6.6"
"Haddam-Killingworth Intermediate School","Public","451 Route 81","Killingworth","06419","Lower CT River Valley","1.4","0.0","1.4"
"Haddam-Killingworth Middle School","Public","451 Route 81","Killingworth","06419","Lower CT River Valley","2.2","0.0","2.2"
"Killingworth Elementary School","Public","340 Route 81","Killingworth","06419","Lower CT River Valley","0.0","0.8","0.8"
"Lebanon Elementary School","Public","479 Exeter Rd.","Lebanon","06249","Southeastern CT","0.3","0.3","0.5"
"Lebanon Middle School","Public","891 Exeter Rd.","Lebanon","06249","Southeastern CT","7.0","0.0","7.0"
"Lyman Memorial High School","Public","917 Exeter Rd.","Lebanon","06249","Southeastern CT","3.4","0.0","3.4"
"Gales Ferry School","Public","1858 Route 12","Ledyard","06335","Southeastern CT","0.0","0.0","0.0"
"Gallup Hill School","Public","169 Gallup Hill Rd.","Ledyard","06339","Southeastern CT","0.0","0.2","0.2"
"Juliet W. Long School","Public","1854 Route12","Ledyard","06335","Southeastern CT","1.3","0.4","1.7"
"Ledyard High School","Public","24 Gallup Hill Rd.","Ledyard","06339","Southeastern CT","1.2","0.4","1.7"
"Ledyard Middle School","Public","1860 Route 12","Ledyard","06335","Southeastern CT","0.9","0.2","1.1"
"Lisbon Central School","Public","15 Newent Rd.","Lisbon","06351","Southeastern CT","1.0","0.0","1.0"
"Connecticut Junior Republic","Non-public","550 Goshen Road","Litchfield","06759","Northwest Hills","0.0","0.0","0.0"
"Forman School","Non-public","12 Norfolk Road","Litchfield","06759","Northwest Hills","0.6","0.0","0.6"
"Lakeview High School","Public","98 Wamogo Road","Litchfield","06759","Northwest Hills","3.2","0.2","3.4"
"Litchfield Center School","Public","125 West Street","Litchfield","06759","Northwest Hills","0.0","0.0","0.0"
"Litchfield Intermediate School","Public","35 Plumb Hill Road","Litchfield","06759","Northwest Hills","7.3","0.0","7.3"
"Litchfield Montessori School","Non-public","5  Knife Shop Road","Litchfield","06778","Northwest Hills","3.3","1.6","4.9"
"Plumb Hill Middle School","Public","14 Plumb Hill Road","Litchfield","06759","Northwest Hills","5.1","0.0","5.1"
"Lyme Consolidated School","Public","478 Hamburg Road","Lyme","06371","Lower CT River Valley","0.5","0.0","0.5"
"Daniel Hand High School","Public","286 Green Hill Rd.","Madison","06443","South Central","2.1","0.3","2.4"
"Dr. Robert H. Brown Elementary School","Public","980 Durham Rd.","Madison","06443","South Central","0.0","0.0","0.0"
"Grove School","Non-public","175 Copse Road","Madison","06443","South Central","0.0","2.3","2.3"
"Neck River Elementary School","Public","180 Mungertown Road","Madison","06443","South Central","0.0","0.0","0.0"
"Our Lady of Mercy Preparatory Academy","Non-public","20 Island Avenue","Madison","06443","South Central","2.2","0.0","2.2"
"The Country School","Non-public","341 Opening Hill Road","Madison","06443","South Central","1.0","0.5","1.5"
"Town Campus Learning Center","Public","10 Campus Drive","Madison","06443","South Central","DNC","DNC","DNC"
"Walter C. Polson Middle School","Public","302 Green Hill Rd.","Madison","06443","South Central","2.3","0.2","2.5"
"Bowers School","Public","141 Princeton Street","Manchester","06042","Capitol","0.3","0.6","0.9"
"Buckley School","Public","250 Vernon Street","Manchester","06042","Capitol","0.4","0.0","0.4"
"Community Child Guidance Clinic School","Non-public","317 North Main Street","Manchester","06042","Capitol","0.0","0.0","0.0"
"East Catholic High School","Non-public","115 New State Road","Manchester","06042","Capitol","2.7","0.0","2.7"
"Elisabeth M. Bennet Academy","Public","1151 Main St.","Manchester","06040","Capitol","0.3","0.0","0.3"
"Great Path Academy at CT State Manchester","Public","60 Bidwell Street, MS #20","Manchester","06045","Capitol","1.1","0.0","1.1"
"Highland Park School","Public","397 Porter St.","Manchester","06040","Capitol","0.0","0.0","0.0"
"Howell Cheney Technical High School","Public","791 West Middle Tpke.","Manchester","06040","Capitol","0.8","0.0","0.8"
"Illing Middle School","Public","227 Middle Tpke E","Manchester","06040","Capitol","1.1","0.1","1.3"
"Keeney School","Public","179 Keeney St","Manchester","06042","Capitol","0.0","0.0","0.0"
"Manchester Head Start","Non-public","60 Washington Street","Manchester","06042","Capitol","0.0","0.0","0.0"
"Manchester High School","Public","134 MiddleTpke E","Manchester","06040","Capitol","0.7","0.1","0.8"
"Manchester Middle Academy","Non-public","65 North School St.","Manchester","06042","Capitol","0.0","0.0","0.0"
"Manchester Regional Academy","Public","665 Wetherell St.","Manchester","06040","Capitol","0.0","1.6","1.6"
"Martin Elementary","Public","140 Dartmouth Rd","Manchester","06040","Capitol","0.0","0.0","0.0"
"New Heights Academy of Manchester","Non-public","71 Haynes Street","Manchester","06040","Capitol","0.0","0.0","0.0"
"Odyssey Community School","Public","579 Middle Tpke West","Manchester","06040","Capitol","0.7","0.5","1.2"
"St. Bridget School-Manchester","Non-public","74 Main Street","Manchester","06042","Capitol","0.6","0.0","0.6"
"St. James-Manchester","Non-public","73 Park Street","Manchester","06040","Capitol","1.0","0.0","1.0"
"The Cornerstone Christian School","Non-public","236 Main Street","Manchester","06042","Capitol","2.9","0.0","2.9"
"Verplanck School","Public","126 Olcott Street","Manchester","06040","Capitol","0.5","0.5","0.9"
"Waddell School","Public","163 Broad Street","Manchester","06042","Capitol","0.2","0.0","0.2"
"E. O. Smith High School","Public","1235 Storrs Rd.","Mansfield","06268","Capitol","0.7","0.0","0.7"
"Mansfield Elementary School","Public","134 Warrenville Rd.","Mansfield","06250","Capitol","0.0","0.0","0.0"
"Mansfield Middle School","Public","205 Spring Hill Rd.","Mansfield","06268","Capitol","1.7","0.0","1.7"
"Oak Grove Montessori","Non-public","132 Pleasant Valley Road","Mansfield","06250","Capitol","0.0","0.0","0.0"
"Elmer Thienes-Mary Hall Elementary School","Public","25 School Dr.","Marlborough","06447","Capitol","0.0","0.0","0.0"
"Mercy High School","Non-public","1740 Randolf Rd","Mercy High School","06457","Middlesex","1.5","0.0","1.5"
"Benjamin Franklin School","Public","426 West Main St.","Meriden","06450","South Central","1.0","0.0","1.0"
"Casimir Pulaski School","Public","100 Clearview Ave.","Meriden","06450","South Central","0.2","0.4","0.6"
"Edison Middle School","Public","1355 North Broad Street","Meriden","06450","South Central","1.6","0.0","1.6"
"Francis T. Maloney High School","Public","121 Gravel St.","Meriden","06450","South Central","0.7","0.0","0.7"
"H. C. Wilcox Technical High School","Public","298 Oregon Rd.","Meriden","06450","South Central","2.4","0.0","2.4"
"Hanover School","Public","208 Main St.","Meriden","06450","South Central","0.3","0.0","0.3"
"Israel Putnam School","Public","133 Parker Ave.","Meriden","06450","South Central","0.7","0.2","0.9"
"John Barry School","Public","124 Columbia St.","Meriden","06450","South Central","0.9","0.0","0.9"
"Lincoln Middle School","Public","164 Centennial Ave.","Meriden","06450","South Central","0.8","0.0","0.8"
"Meliora Academy","Non-public","470 Murdock Avenue Suite 1","Meriden","06450","South Central","DNC","DNC","DNC"
"MidState Christian Academy","Non-public","139 Charles Street","Meriden","06450","South Central","22.3","5.6","27.9"
"Nathan Hale School","Public","277 Atkins St. Ext.","Meriden","06450","South Central","0.2","0.0","0.2"
"Orville H. Platt High School","Public","220 Coe Ave.","Meriden","06450","South Central","0.6","0.0","0.6"
"Roger Sherman School","Public","64 North Pearl St.","Meriden","06450","South Central","0.7","0.0","0.7"
"Thomas Hooker School","Public","70 Overlook Rd.","Meriden","06450","South Central","0.0","0.0","0.0"
"Venture Academy","Non-public","883 Paddock Avenue","Meriden","06450","South Central","0.0","0.0","0.0"
"Washington Middle School","Public","1225 North Broad St.","Meriden","06450","South Central","0.6","0.0","0.6"
"Long Meadow Elementary School","Public","65 North Benson Rd.","Middlebury","06762","Naugatuck Valley","0.9","0.0","0.9"
"Memorial Middle School","Public","1 Memorial Dr","Middlebury","06762","Naugatuck Valley","1.7","0.0","1.7"
"Middlebury Elementary School","Public","550 Whittemore Rd","Middlebury","06762","Naugatuck Valley","0.7","0.3","1.0"
"John Lyman School","Public","106 Way Rd.","Middlefield","06455","Lower CT River Valley","2.3","0.0","2.3"
"The Independent Day School","Non-public","115 Laurel Brook Road","Middlefield","06455","Lower CT River Valley","1.7","0.8","2.5"
"Beman Middle School","Public","1 Wilderman's Way","Middletown","06457","Lower CT River Valley","1.4","0.0","1.4"
"Bielefield School","Public","70 Maynard St.","Middletown","06457","Lower CT River Valley","0.4","0.0","0.4"
"Farm Hill School","Public","390 Ridge Rd.","Middletown","06457","Lower CT River Valley","0.6","0.3","0.9"
"Lawrence School","Public","Kaplan Dr.","Middletown","06457","Lower CT River Valley","0.0","0.0","0.0"
"MacDonough School","Public","99 Spruce Street","Middletown","06457","Lower CT River Valley","0.0","0.0","0.0"
"Middletown High School","Public","200 LaRosa Lane","Middletown","06457","Lower CT River Valley","0.6","0.1","0.7"
"Moody School","Public","300 Country Club Rd.","Middletown","06457","Lower CT River Valley","0.0","0.0","0.0"
"Queen of the Apostles Preparatory Academy","Non-public","151 Broad St","Middletown","06457","Lower CT River Valley","DNC","DNC","DNC"
"Rushford Day School","Non-public","100 Roscommon Drive, Suite LL30","Middletown","06457","Lower CT River Valley","DNC","DNC","DNC"
"Snow School","Public","299 Wadsworth St.","Middletown","06457","Lower CT River Valley","0.3","0.6","0.9"
"Spencer School","Public","207 Westfield St.","Middletown","06457","Lower CT River Valley","0.0","0.0","0.0"
"St. John Paul II","Non-public","87 South Main Street","Middletown","06457","Lower CT River Valley","1.1","0.0","1.1"
"Vinal Technical High School","Public","60 Daniels St.","Middletown","06457","Lower CT River Valley","1.9","0.0","1.9"
"Wesley School","Public","10 Wesleyan Hills Rd.","Middletown","06457","Lower CT River Valley","0.0","0.0","0.0"
"Xavier High School","Non-public","181 Randolph Road","Middletown","06457","Lower CT River Valley","2.1","0.0","2.1"
"Academy of Our Lady of Mercy, Lauralton Hall","Non-public","200 High Street","Milford","06460","South Central","3.9","0.4","4.2"
"Calf Pen Meadow School","Public","395 Welch's Point Rd.","Milford","06460","South Central","2.2","0.0","2.2"
"Charles F. Hayden School at Boys & Girls Village","Non-public","528 Wheelers Farms Road","Milford","06461","South Central","1.1","0.0","1.1"
"East Shore Middle School","Public","240 Chapel St.","Milford","06460","South Central","5.6","0.0","5.6"
"Harborside Middle School","Public","175 High St.","Milford","06460","South Central","3.4","0.0","3.4"
"J. F. Kennedy School","Public","404 West Ave.","Milford","06460","South Central","1.4","0.4","1.8"
"Jonathan Law High School","Public","20 Lansdale Ave.","Milford","06460","South Central","1.0","0.0","1.0"
"Joseph A. Foran High School","Public","80 Foran Dr.","Milford","06460","South Central","3.8","0.6","4.3"
"Live Oaks School","Public","575 Merwin Ave.","Milford","06460","South Central","0.0","0.0","0.0"
"Mathewson School","Public","466 West River St.","Milford","06460","South Central","0.6","0.0","0.6"
"Meadowside School","Public","80 Seeman's Ln.","Milford","06460","South Central","1.1","1.1","2.2"
"Milestones Behavioral Services-Milford","Public","95 Wolf Harbor Rd","Milford","06461","South Central","7.9","0.0","7.9"
"Milford Christian Academy","Non-public","989 New Haven Avenue","Milford","06460","South Central","DNC","DNC","DNC"
"Orange Avenue School","Public","260 Orange Ave.","Milford","06460","South Central","0.5","0.2","0.7"
"Orchard Hills School","Public","185 Marino Dr.","Milford","06460","South Central","0.3","0.3","0.6"
"Platt Technical High School","Public","600 Orange Ave.","Milford","06461","South Central","2.8","0.1","2.9"
"Pumpkin Delight School","Public","24 Art St.","Milford","06460","South Central","1.4","1.4","2.9"
"St. Mary School-Milford","Non-public","72 Gulf Street","Milford","06460","South Central","3.0","1.2","4.2"
"The Academy","Non-public","140 Gulf Street","Milford","06460","South Central","0.0","0.0","0.0"
"The Foundation School-Milford","Public","91 Woodmont Road","Milford","06460","South Central","DS","DS","DS"
"West Shore Middle School","Public","70 Kay Ave.","Milford","06460","South Central","2.6","0.3","2.8"
"Woodhouse Academy","Non-public","4 Oxford Road, Building F","Milford","06460","South Central","0.0","0.0","0.0"
